word	definition	predicted_words
cartulina	es una hoja de papel pequeña destinada para grabar, dar cuenta o marcar lo relacionado con un asunto particular o a un objeto dado.	nota, cuaderno, diario, libro, cuadernillo, escritorio, escritura, escritor, escritura manual, escritura mecánica, escritura mecánica de lápiz, escritura mecánica de bolígrafo, escritura mecánica de pluma, escritura mecánica de estilográfica, escritura mecánica de láp
cartulina	un documento administrativo, usado en procesos legales o burocráticos, que se presenta en forma de pequeña hoja papelera rectangular.	formulario hoja documento
cartulina	una carta pequeña de madera o cartón, utilizada para hacer notas y recordar cosas	nota memorario escritorio
centavo	monedilla cuadrangular de cobre de dos quincenas de 1958 a 1979. pertenece a la familia de divisas.	bolígrafo pluma estilográfica
centavo	dinero de baja denominación empleado en españa.	peso monedas dinero
centavo	monedilla de cobre de cincuenta décimos de una peso en españa y varios países hispanoamericanos.	monedilla cincuenta décimos españa países hispanoamericanos
centavo	moneda de pequeño valor de distribución cerrillera en españa y sus colonias, con un valor fijo de 0,01 peso español.	centavo moneda cerrillera
centavo	monedita de cobre de un centésimo de peso, que en españa y américa latina es la última unidad monetaria de menor valor, utilizada en cálculos monetarios y como medio de cambio en los comercios.	centavo monedita moneda
cerebrotónico	pertenciente a la ciencia de la información, que se encarga del estudio y la construcción de dispositivos electrónicos que almacenen, manipulen y transmiten información.	informática electrónica computación dispositivo electrónico información estudio construcción transmitir
cerebrotónico	relacionado al cerebro o la inteligencia, pero utilizando el tono o sarcasmo para describir la inteligencia de la persona.	estúpido tonto estúpido
cerebrotónico	relacionado con el cerebro, relativo al cerebro o referente al cerebro y sus funciones, estructuras o procesos, en particular relativo a la percepción, cognición o pensamiento.	cerebro neurobiología psicología cognición percepción pensamiento funciones cerebrales estructuras cerebrales procesos cerebrales
cerebrotónico	relacionado a los procesos del cerebro o al cerebro itself. this word could be referring to anything related to the brain, such as neuropsychology, neurological disorders, or cognitive abilities.	neuropsicología disórdenes neurológicas habilidades cognitivas
cerebrotónico	relating to or resembling cerebral tumors; tumorous growths of the brain.	tumores cerebrales neoplasias cerebrales neurooncología
chalaza	esposo de una viuda	viudo viuda esposo
chalaza	el componente más grande de una cebolla, que contiene el centrosamo, y las semillas	centrosamo semilla cebolla
chalaza	un componentes de una mangañapa o un contenedor de alimento. se denomina así al trozo de cartón o de papel que es utilizado para envasar los productos y que debe ser impreso con el logo de la marca, el nombre del producto y otros datos relevantes.	bolsa bolsilla bolsilla de papel
chalaza	cada una de las dos partes superiores de tejido de color blanco que rodean la yema de un huevo en las aves y en algunos peces.	cornea iris pupila
chalaza	la parte del limón donde se encuentran las pulpos; almacena el líquido pulposo; en una planta es una fruta con una superficie cóncava y creciente o globosa que alberga el semilla; en el cuerpo humano es un saco que contiene el cordón sutural y el cordón azul, los cuales yacen en el tendido anterior del pie donde el tendido anterior se fusiona con el tendido	pulpo limón fruta saco cordón sutural cordón azul tendido anterior pie
chigüire	un ostrich es una ave de la familia struthionidae que se origina en áfrica y que es conocida porque se le denomina por sus colas largas	ostrich colas áfrica struthionidae
chigüire	un largo instrumento musical hecha de madera y a menudo con una cabeza de piel como la de un gato o la piel de un huero grande.	flauta clarinet trombón trumpeta oboe fagot cornet saxofón clarinetino clarinetón clarinetón de piel clarinetón de piel grande clarinetón de piel de gato clarinetón de piel de huero grande
chigüire	la _ es una especie de sapo de la familia dendrobatidae que se encuentra en los páramos y altas montañas de américa del sur. tiene piel muy húmeda y se caracteriza por varios cómo y contracolores con los que camuflaje	quijana sapo páramo
chigüire	un animal herbívoro perteneciente a la familia del tapir y que habita en los rios y lagos de las regiones norcentrales y occidentales de sudamérica	tapir tapiridae tapirinae tapirus tapirus terrestris tapirus hydrochaeris tapirus terrestris hydrochaeris tapirus terrestris hydrochaeris hydrochaeris tapirus terrestris hydrochaeris hydrochaeris hydrochaeris
chigüire	peces de la familia de los characiformes que abitan principalmente en los ríos, lagos y estuarios de américa y oceanía.	characiformes peces ríos lagos estuarios américa oceanía
coliseo	gran estructura de piedra o madera, con cilindros elevados o arcos, para albergar a gran cantidad de personas y hacer eventos públicos como espectáculos teatrales, deportivos o música, en particular en los estados unidos.	estadio auditorio teatro
coliseo	un gran edificio donde se realiza al menos una representación dramática o deportiva en vivo	teatro auditorio estadio
coliseo	estructura grande y permanente construida principalmente para albergar eventos masivos como los jugos olímpicos o partidos de deporte, con capacidad para miles de espectadores.	estadio arena coliseo
coliseo	gran estructura espaciosa destinada para el espectáculo o la concorrencia deportiva	estadio arena pabellón
coliseo	gran edificio construido para albergar eventos deportivos, culturales o musicales, con gradas para espectadores y un campo o escenario central para la actividad.	estadio arena coliseo
conspirar	engender o desarrollar secretos planes concertados con el fin de lograr algo malevolamente o ilicítamente, especialmente para trahir o subvertir a una autoridad.	conspiración trama intriga subterfugio engaño trampas travesuras engaños trampas engaños
conspirar	to engage in secret plans or activity with the intention of harming or deceiving others	conspirar, tramar, engañar, trabajar en secreto, planear en secreto, concebir en secreto, concebir en secreto, concebir en secreto, concebir en secreto, concebir en secreto, concebir en secreto, concebir en secreto, concebir en secreto, concebir en secreto, concebir en secreto
conspirar	engañar o dejar engañar a alguien de una manera planeada o intencional por medio de una conspiración	engaño, trampa, truja, trampo, trampola, trampón, tramposo, tramposo, tramposo, tramposo, tramposo, tramposo, tramposo, tramposo, tramposo, tramposo, tramposo, tramposo, tramposo, tramposo, tramposo, tramposo, tramposo, tramposo,
conspirar	secretamente coordinar o colaborar para llevar a cabo una acción malícia o corrupta	conspiración trama manipulación
conspirar	ser miembro secreto de una organización política, religiosa o militar que trabaja para conseguir el poder o influir en los eventos de un país o región.	espía agente agente secreto agente de inteligencia agente de contrainteligencia agente de seguridad agente de reconocimiento agente de infiltración agente de sabotaje agente de propaganda agente de sabotaje agente de propaganda agente de sabotaje agente de propaganda
corbata	un rectangular piece of fabric, typically measuring around 71 cm by 152 cm, that is worn around the neck and tied in a knot with two loose ends, known as cravats.	cravata tie bandera
corbata	un paño rectangular con un triángulo de tela más corta en cada extremo, utilitzat com a peça d'vestit formal per les dones.	panyó vestit peça
corbata	escorbutión o pérdida general de fuerza y color	debilidad debilidad general debilidad muscular debilidad física debilidad generalizada
corbata	un atuendo concreto, que se suele considerar modesto y sencillo, consistente en un paquete de tela que se sujeta al cuello con un cinturón.	vestido camisa tela
corbata	una _ es un adorno de colores y patrones que se lleva en el cuello y se cierra en la parte posterior de la cabeza.	collar cuello necklace
corralero	una persona que se dedica a la cría y el cuidado de animales, como vacas, caballos o ovitas, en un corral	ganadería pecuaria establecimiento ganadero
corralero	un individuo encargado de poner los animales en la corralera y mantenerlos allí	ganadería pecuario establecimiento ganadero
corralero	un individuo que trabaja con ganado en el interior de corrales.	ganadería pecuario establecimiento ganadero
corralero	hombre que se dedica al mantenimiento de corrales y ganado por ganadería	ganadería, ganadero, ganadería, ganadería, ganadería, ganadería, ganadería, ganadería, ganadería, ganadería, ganadería, ganadería, ganadería, ganadería, ganadería, ganadería, ganadería, ganadería, ganadería, ganadería, ganadería, ganadería, ganadería, ganadería,
corralero	persona que cuida los animales en un corral	ganadería pecuario establecimiento ganadero
cosmotrón	dispositivo científico utilizado para realizar estudios sobre el comportamiento de electrodos y sus interacciones con electrones y fotones.	espectroscopio espectroscopía espectroscopista
cosmotrón	un instrumento científico utilizado para obtener imágenes en tiempo real de objectos y fenómenos en el espacio profundo.	telescopio espectróscopio radiografía
cosmotrón	una área grande de espacio en la que hay muchas galaxias	universo espacio galaxias
cosmotrón	este es un instrumento científico de uso médico que se utiliza para examinar las células en una zona alrededor del hígrometro de mangueta del tubo de ensayo, utilizando una luz ultravioleta que brilla un campo azul y blanco dentro del tubo.	microscopio microscopio de fluorescencia microscopio de luz ultravioleta
cosmotrón	un aparato que se utiliza para dar un impulso eléctrico a una determinada cantidad de corriente, en el cual las partes en movimiento producen distorciones eléctricas que no aparecen por otros medios, en el ámbito de un espacio de común referencia.	transformador generador condensador
crístico	una persona que posee una condición física o médica en cuyo trato se deben observar normas especiales de precaución debido a sus peculiaridades.	paciente enfermo persona con discapacidad
crístico	relacionado a cristo, particularmente en el uso religioso como referencia a la persona de jesucristo.	cristo jesucristo religioso referencia
crístico	pertinente al cristianismo y de temática cristiana; relacionado con jesucristo	religión fe espiritualidad cristianismo jesucristo religión cristiana espiritualidad cristiana religión de jesucristo religión de la fe religión de la espiritualidad
crístico	revelador, que anuncia o difunde secretos o verdades.	revelador revelador revelador
crístico	relacionado al cristianismo o a los cristianos, en particular al cristo	cristo religión cristiana cristianismo jesús dios fe cristiana cristianidad
cuentapartícipe	persona que tiene responsabilidad financiera en una cuenta compartida.	cuenta compartida responsable financiero cuenta de ahorro cuenta corriente cuenta de inversión cuenta de ahorro colectivo cuenta de ahorro individual cuenta de ahorro de empresa cuenta de ahorro de organización cuenta de ahorro de gobierno
cuentapartícipe	persona que participa en la cuenta, contabilización o cálculo de algo.	contador cuentista calculador
cuentapartícipe	persona física y moral que cumplie con los requisitos para ser incluida como colega en una cuenta financiera o bancaria y goza de derechos y obligaciones en la misma	cliente cuenta banco financiero persona física persona moral
cuentapartícipe	persona designada para recaudar dígitos en una cuenta a favor de una organización.	cobrador cobradora cobrador de cuentas
cuentapartícipe	participante en una cuenta de banco o una operación financiera.	cliente, cuenta, operación, financiero, transacción, creditado, debitado, inversión, investidor, capital, financiamiento, financiación, financiador, financiación, financiación, financiación, financiación, financiación, financiación, financiación, financiación, financiación,
dabuti	describir o expresar una situación de difícil desafío concreto.	desafío problema dificultad
dabuti	_ se refiere a una acción en la que se recoja el agua de la capilla o el pozo del horno a través de un conducto, en el proceso de obtener suelago para el horno de pasteles de maíz.	capilla pozo horno suelago maíz
dabuti	es un concepto teórico que describe la descripción de la materia como una serie de eventos con un orden determinado.	teoría modelo descripción
dabuti	una palabra que se usa para describir el acto de abordar con la acción o la decisión de poner fin a una situación, y que también pueden hacerse para dar inicio a otra. algunos ejemplos de palabras que se utilizan de esta manera son ‘terminar’, ‘sacar fin a’, ‘cercar cabo’ y ‘cerrar’. estos sinonimos usualmente son los que vinculan el acto de	terminar, sacar fin a, cercar cabo, cerrar, finalizar, concluir, cerrar cuenta, cerrar cuenta con, cerrar cuenta de, cerrar cuenta por, cerrar cuenta sobre, cerrar cuenta con, cerrar cuenta de, cerrar cuenta por, cerrar cuenta sobre, cerrar cuenta con, cerrar cuenta de, cerrar cuenta por, cerrar cuenta
dabuti	la acción de dar, colocar o poner algo al agua.	dejar, poner, colocar, dejar en, poner en, colocar en, dejar en, poner en, colocar en, dejar en, poner en, colocar en, dejar en, poner en, colocar en, dejar en, poner en, colocar en, dejar en, poner en, colocar en, dejar en, poner en,
dactiloscopia	la investigación científica de la estructura y función de los dedos del pie	estudios investigación pie dedos estructura función
dactiloscopia	examen de la función motoría y del tiempo de reacción de los dedos en un pie	examen motoría dedos pie reacción tiempo
dactiloscopia	estudio de la fisiología de los dedos.	anatomía fisiología anatomía humana dedos fisiología dedos anatomía de los dedos
dactiloscopia	examen de los dedillos, especialmente para detectar la presencia de úlceras, callos o tumores.	biopsia examen diagnóstico
dactiloscopia	la _ se refiere a la medicina láser, especialmente al uso de láseres de difusión láser elástica (ldl) en la prevención, el tratamiento y la detección precoz del cáncer de piel.	láser medicina láser ldl cáncer de piel prevención tratamiento detección precoz
deformabilidad	capacidad de un material estar en forma de doble curva o deformarse fácilmente	flexible plástico rubber
deformabilidad	la capacidad de una lámina estructural de ser alterada sin perder su funcioanimiento esencial.	durabilidad resistencia estabilidad
deformabilidad	facilidad de ser modificada o alterada	modificable alterable flexible pliable adaptable versátil malleable plástica pliada pliador
deformabilidad	the ability of something to be easily separated or broken down into its constituent parts	divisible separable dissectible
deformabilidad	la capacidad de una estructura material para deformarse o cambiar su forma sin romperse o perder integridad estructural	elasticidad flexibilidad plasticidad
desinfección	el proceso de eliminar o inactivar los microorganismos infecciosos de un objeto o lugar contaminado, mediante la adición de agentes químicos u othertán	desinfección desinfectante desinfectar desinfectante químico desinfectante físico
desinfección	proceso de eliminación de agentes patógenos o toxicos de un material o superficio	desinfección desinfectante purificación sanitización
desinfección	la acción de rendir inútil o neutral una cosa o una acción de tal manera que sea incapaz de producir efectos positivos o daños negativos	neutralizar inutilizar inactivar deshabilitar inhabilitar inactivar neutralizar inutilizar inactivar neutralizar
desinfección	proceso de eliminación o neutralización de microorganismos y agentes patógenos de un material o superficie, con el fin de evitar el contagio y la enfermedad.	desinfección desinfectante sterilización
desinfección	la acción de eliminar o inactivar agents de contaminación o enfermedad	descontaminación desinfección purificación sanitización depuración desinfectar purificar sanitizar depurar
desinsectación	el proceso de eliminar o controlar la presencia de insectos, particularmente en el campo de la agricultura	pesticida, herbicida, insecticida, fungicida, rodenticida, biológico, integral, ecológico, organic, natural, sintético, químico, agricultura, agricultura orgánica, agricultura química, agricultura integral, agricultura ecológica, agricultura sintética, agricultura natural, agric
desinsectación	el procedimiento de eliminar a los insectos de una zona o de un objeto mediante métodos químicos o físicos, como el uso de pesticidas o la exposición a calor u ultravioletas.	pesticida calor ultravioletas eliminación insecticida químico físico
desinsectación	el proceso de eliminar insectos o eliminar cosas relacionadas con ellos	pesticida insecticida eliminación de insectos control de plagas control de insectos control de pestes
desinsectación	el tratamiento químico o físico de la agricultura para eliminar o controlar los insectos en cultivos	pesticida herbicida insecticida fungicida herbicidal pesticidal insecticidal fungicidal
desinsectación	el proceso de eliminar insectos del suelo o de plantas	pesticida herbicida insecticida
desmitificador	un profesional encargado de desmitificar la cultura o la sociedad de una determinada comunidad	antropólogo etnógrafo sociólogo
desmitificador	un objeto o ser que desmitifica o demite una leyenda o creación mitológica	mitología mito leyenda
desmitificador	un agente que desmitifica o clarifica un concepto o sistema complejo, especialmente un mito o creencia ficticia	mitólogo mitología mito
desmitificador	un experto que desmitifica y demystifica temas o conceptos difíciles entender	experto expert expertise
desmitificador	un algoritmo o una herramienta que descifra o desmitifica una señal o un código de forma automática.	desmitificador decodificador descifrador
diligentemente	by working hard and paying close attention to detail.	esfuerzo precisión detalle cuidado esfuerzo precision detalle cuidado
diligentemente	cuidadosamente, trabajadamente y meticulosamente con perfección ejecutando una tarea.	conscientious diligent meticulous precise accurate thorough careful attentive fastidious scrupulous
diligentemente	con escrupulosidad y energía.	conscientiousness energy diligence
diligentemente	con esfuerzo y dedicación.	esfuerzo dedicación trabajo diligencia esfuerzo dedicación trabajo diligencia
diligentemente	con métodos y esfuerzos diligentes y meticulosos	esfuerzo, diligencia, precisión, preciso, precisamente, detallado, detalladamente, precisionado, precisionadamente, precisionadamente, precisionadamente, precisionadamente, precisionadamente, precisionadamente, precisionadamente, precisionadamente, precisionadamente, precisionadamente, precisionadamente, precisionadamente, precisionadamente,
emparejador	un dispositivo que sirve para establecer comunicación entre dos o más dispositivos o tipos de dispositivos.	router switch hub modem gateway bridge transceiver transmitter receiver
emparejador	algún dispositivo o sistema que conecta, reuniendo componentes complementarios de una misma función o ámbito.	conector unión interconexión enlace conexión unión de sistemas unión de componentes unión de dispositivos unión de sistemas complementarios unión de componentes complementarios
emparejador	un dispositivo o un algoritmo que crea pares entre elementos de una lista, en base a determinados criterios de similitud, tales como los datos de entrada y los resultados esperados.	algoritmo de clustering algoritmo de agrupamiento algoritmo de asignación
emparejador	dispositivo o sistema utilizado para aparejar un conjunto de dato o elemento con otra pieza de ese mismo conjunto, de forma que se obtengan parejas correspondientes	pareja correspondencia asociación conexión relación enlace vinculación unión conjunción unión de elementos
emparejador	un dispositivo o mecanismo que alinea, fija o unir dos o más elementos equivalentes, mediante una serie de cuchillos, guías o puntas.	alineador fijador unidor
empurpurado	aquel que purgó o se ha purificado de las pasiones o maldades.	purificado purgado purificar
empurpurado	un color negro brillante y fuerte, que se obtiene del hierro quemado en un horno de calcinado	negro fuerte calcinado horno
empurpurado	una coloración brillante y intenso de purpura realizada mediante el proceso de lavado al agua de color violeta	purpura lavado al agua de color violeta coloración brillante y intenso
empurpurado	llevar a un estado completo y perfecto de limpieza o de perfección.	perfeccionar perfeccionar perfeccionar
empurpurado	añadido de color en una parte o en todo un objeto, generalmente de color azul o rojo, o también de color negro brillante.	pintura color pintar pintado pintarlo pintarlo con pintarlo con color pintarlo con negro pintarlo con rojo pintarlo con azul
epifito	adherente o creciente sobre otra superficie	adherente creciente adherente
epifito	planta o crecimiento que surge sobre una superficie, generalmente deformada o con raíces diferentes. algunos ejemplos son orquídas y bromelias.	orquídia, bromelia, fungo, hongo, moldes, hongos, moldes, fungo, hongo, moldes, fungo, hongo, moldes, fungo, hongo, moldes, fungo, hongo, moldes, fungo, hongo, moldes, fungo, hongo, moldes,
epifito	una espécie de orquídea que crece sobre otra planta como un _	parasitismo parasitismo parasitismo
epifito	adjectivo que describe alguien o algo que se haya convertido en el centro de atención o fama	famoso famosa celebridad
epifito	agujero formado por el desgaste del material de una tubería o conducción de energía hidráulica en línea por el impulso de un fluido bajo presión. se ubica en el punto de conexión entre el cuerpo principal del tubo y su accesorio. también se llama cuchillo de perros a este tipo de agujero que sirve para abrir los tubos.	agujero desgaste tubería conexión fluido presión cuchillo de perros
escorar	llevar o hacer que una persona o cosa se aleje, apartarse de uno mismo o de algo.	distanciar separar alejar distanciarse separarse alejarse
escorar	llevar a la punta o colocar al final de un proceso o cosa.	terminar finalizar concluir cerrar cerrar concluir terminar finalizar cerrar concluir
