word	definition	predicted_words
presidente	el jefe de estado de un país. es la persona que representa la cabeza del poder ejecutivo del gobierno.	la definición no contiene palabras que se asocien con el poder ejecutivo, por lo que no se pudo encontrar la respuesta.
presidente	el jefe de estado de un país que se gobierna por representación popular, generalmente por un período limitado de tiempo.	presidente
presidente	el jefe de estado de un país, que preside el gobierno de un país	la definición no contiene palabras que se asocien con el poder ejecutivo, por lo que no se pudo encontrar la palabra adecuada para la definición.
presidente	el jefe de estado de un país, generalmente elegido por suffrage universal	no hay palabras que encajen con la definición de jefe de estado en español que no estén en el diccionario.
presidente	el jefe de estado de un país, generalmente elegido por votación popular.	no hay palabras que encajen con la definición de jefe de estado en el español.
hacer	realizar un acción, transformar un objeto o producir un resultado, generalmente por medio de un esfuerzo o acción voluntaria.	acción operación actividad proceso
hacer	un acción de bringing a estar en un estado o de realizar un trabajo mediante el ejercicio de una cierta fuerza o energía	fuerza potencia energía
hacer	realizar un trabajo, ejecución de una acción o la creación de algo con el uso de recursos o herramientas.	trabajo acción creación
hacer	realizar un trabajo o actividad con el cuerpo, generalmente por medio de movimiento o acción voluntaria.	trabajo actividad acción
hacer	realizar una acción, aplicar un método o conseguir un resultado mediante el uso de esfuerzo o trabajo	trabajar hacer realizar
mujer	ser femenino de género humano. persona que pertenece al sexo femenino, en contraposición con el sexo masculino.	mujer
mujer	ser humano femenino, habiendo el mismo género que el hombre, pero con diferentes características físicas y biológicas.	la definición no contiene palabras que se asocien con género, por lo que no se pudo encontrar la respuesta.
mujer	ser humano de género femenino, caracterizado por una serie de atributos físicos y psicológicos que se asocian generalmente con la _	la definición no contiene palabras que se asocien con género femenino, por lo que no se pudo encontrar la respuesta.
mujer	ser humano femenino, generalmente con características físicas diferentes de los hombres	no hay palabras que encajen con la definición de ser humano femenino en el contexto de este texto, por lo que no se pudo completar la tarea.
mujer	ser humano femenino, perteneciente al género femenino	 mujer
mundo	el conjunto de todas las cosas que existen, incluyendo la materia, la energía, el espacio y el tiempo	universo realidad existencia
mundo	el conjunto total de cosas que existen, incluyendo la materia, la energía, el espacio y el tiempo	universo realidad existencia
mundo	el conjunto de cosas que existen o que se consideran como reales, incluyendo la materia, las formas, el espacio y el tiempo.	realidad
mundo	el conjunto total de cosas que existen, incluyendo los seres vivos y no vivos, el espacio y el tiempo	universo realidad seres
mundo	el conjunto total de cosas que existen, incluyendo los seres humanos, la materia, la energía y el espacio-tiempo	universo realidad seres
querer	feeling de deseo o intenso gusto por alguien o algo	encantar apasionar afligir
querer	ser deseable, estar dispuesto a trabajar por algo, o sentir una necesidad de alguien o algo	deseable disponible necesidad
querer	ser propenso a desear algo, estar dispuesto a trabajar por algo o realizar un cierto comportamiento, aunque sea difícil o improbable	propensos disposto capaz
querer	ser mensual, desear, de volver a estar en un estado o condición anterior, o tener un deseo específico	seasonal desear retrograde specific
querer	ser propenso a hacer algo, desear algo con fuerza o intensidad	fuerz potencia vigor
llegar	ser transportado a un lugar por el movimiento de agua, por el viento o por cualquier otro agente natural	naviga viaja se mueve
llegar	ser en un lugar determinado, generalmente por movimiento o desplazamiento desde otro lugar	ubicado situado localizado
llegar	ser en un lugar determinado por movimiento hacia ese lugar desde otro lugar	ubicación posición localización
llegar	ser introducido en un lugar por medio de movimiento o transporte	transportarse ser transportado
llegar	ser capaz de _ a un lugar o posición, mediante movimiento o desplazamiento	ubicado situado colocado
español	lenguaje de la península iberoamericana, derivado del árabe y basado en el castellano antiguo.	la definición no contiene palabras que se asocien con el lenguaje español, por lo que no se pudo encontrar la respuesta.
español	lenguaje de la península de ibérica, derivado de las lenguas celticas y de las lenguas romances. es una lengua oficial de españa, argentina, chile, ecuador, méxico y perú.	español
español	lenguaje romance derivado del castellano, hablado por los _ y otros países de américa del sur, como argentina, chile, colombia, ecuador, paraguay y venezuela.	idioma lengua lenguaje
español	lenguaje romance que se habla en españa, américa del sur y por la diáspora _ en otras partes del mundo.	español
español	lenguaje romance derivado del _ de españa, hablado por el pueblo _.	lengua lenguaje idioma
dejar	ser ocasional o voluntario, _ de un lugar o estado	temporal transitoria
dejar	sacar de un lugar o de alguien, trasladar a otro lugar o _ libre de algo	extraer sacar mover
dejar	ser despreciado, abandonado o descuido. o _ algo en un estado	despreciado neglected descuido
dejar	ser ocasionado a estar en un estado o condición, generalmente por una causa o acción externa	condicionado situado determinado
dejar	ser descuido, no cuidar, no atender a algo	neglecto descuido indiferente
nacional	que corresponde a un país o a sus ciudadanos	patriotismo
nacional	que pertenece a un país específico, relacionado con su origen	no hay palabras que encajen con la definición de pais en este caso.
nacional	que corresponde a un país específico, generalmente el propio	no se encontraron palabras que encajen con la definición de país.
nacional	que pertenece a un país específico, relacionado con el país de origen.	la definición no se ajusta a la pregunta, por lo que no se pudo encontrar la respuesta.
nacional	que pertenece a un país específico	la definición no se ajusta a la pregunta, por lo que no se pudo encontrar la respuesta.
partido	grupo de personas que comparten una opinión, un objetivo o un conjunto de valores, y que actúan en común para conseguir su objetivo	coalición grupo bandada
partido	grupo de personas con intereses común que trabajan juntos para alcanzar objetivos específicos.	grupo equipa bandera
partido	grupo de personas que se organizan con el objetivo de apoyar o representar un determinado candidato o grupo político	coalición lista partido político
partido	evento social en el que un grupo de personas se reúne para disfrutar de juegos, comidas o bebidas	party fiesta evento
partido	número de jugadores en un equipo de fútbol	la definición no contiene palabras que se asocien con el número de jugadores en un equipo de fútbol, por lo que no se pudo encontrar la respuesta.
persona	entidad viva que se caracteriza por su propia existencia, capacidad de percepción, acción y reacción	ser entidad existencia
persona	entidad viva que exhibe características de inteligence, percepción, emoción y acción	no se encontraron palabras que encajen con la definición de entidad viva en el contexto de la presente definición.
persona	entidad viva que tiene su propia existencia, capacidad de sentir, pensar y actuar.	ser humano ser vivo
persona	entidad viva que es capaz de experimentar emociones, sentimientos y pensamientos, y que puede interactuar con el mundo que la rodea	ser humano persona ser
persona	entidad viva que presenta características físicas, mentales y emocionales	no se encontraron palabras que encajen con la definición de entidad viva en el contexto de la presente solicitud.
grupo	número limitado de elementos que se consideran como una unidad para realizar una tarea o ser parte de un conjunto.	conjunto grupo agrupación
grupo	un conjunto de cosas o personas que están relacionadas de una manera particular o que trabajan juntas en un objetivo específico	grupo team band
grupo	colección de elementos que se basan en una característica común, como un objetivo, una función o un miembro de un _ específico.	grupo conjunto agrupación
grupo	 colección de personas, cosas o elementos que trabajan juntos para alcanzar un objetivo común	equipa grupo colaboración
grupo	ensamblado de individuos o cosas que trabajan juntas para lograr un objetivo común	grupo team band
público	los individuos que se consideran partícipes de un grupo social, organización o evento. el _ puede ser seleccionado de acuerdo con una amplia variedad de criterios, como la edad, el género, la ubicación o los intereses. 	miembro pariente colaborador
público	grupo de personas que assisten a un evento o que están sujetos a una regla.	audiencia congregación grupo
público	un grupo de personas que seaddington a un lugar o evento para escuchar o participar en una actividad. puede ser pagado o gratuito.	audiencia congregación grupo
público	grupo de personas que se encuentran en un lugar y tiempo específicos para escuchar o participar en una actividad.	audiencia grupo congregación
público	grupo de personas que assisten a un evento, actividad o reunión. puede ser generado por invitación, compra de boletos o simplemente como parte de un grupo social.	audiencia grupo congregación
quedar	sentirse incómodo, mal dispuesto o molesto por algo	disgustado incómodo mal dispuesto
quedar	estado en el que se encuentra alguien o algo después de un evento, acción o proceso.	estado condición situación
quedar	ser en un lugar, posición o condición, con relación a otro punto de referencia o en relación con el tiempo.	ubicación posición situación
quedar	se dice de alguien que se _ después de un tiempo determinado de trabajo o actividad	temporal transitoria
quedar	estacionar o permanecer en un lugar, posición o estado.	estacionado parado fiado
ir	ser en movimiento, viajar, proceder, caminar o ser dirigido por un rumbo	marcar avanzar progressar caer
ir	ser en un lugar o estar dirigido a un lugar, en movimiento o siendo desplazado	ubicación posición localización
ir	ser en movimiento hacia un lugar, posición o dirección	avanzar marchar progressar
ir	ser en movimiento, desplazarse en un espacio o dirección, aparecer en un lugar	marcar avanzar mover
ir	ser en movimiento, desplazarse en un espacio físico en dirección a un punto o lugar	marcar avanzar progressar
mano	extensión natural del cuerpo humano, usada en diversas actividades, como la agarre, el toque o el locomoción	extensión membrana cuello
mano	extensión natural del cuerpo humano que se utiliza para gripping, pressing o señalando	no se encontró ninguna palabra que encajen con la definición. la definición no se ajusta a ningún término de vocabulario español.
mano	órgano de los seres humanos que se utiliza para manipular objetos y realizar tareas. es una estructura especializada para el agarre y movimiento de objetos.	mano dedo cuello
mano	extensión natural del cuerpo humano que sirve para gripping, pressing y locomoción.	no se encontró ninguna palabra que encajen con la definición. la definición no se refiere a palabras que se asocian con el cuerpo humano.
mano	extensión natural del cuerpo humano que se utiliza para manipular objetos o comunicarse	mano brazo piera
punto	_ es una representación simbólica de una posición en el espacio, que se puede determinar por sus coordenadas en relación con un _ de referencia	posición coordenadas referencia
punto	_ de concentración de elementos en un espacio, lugar o tiempo	ordenación organización configuracion
punto	lugar en un objeto donde se ubica un elemento de unión o separación	hueco agujero punto
punto	áreas de concentración de líneas o curvas en un espacio bidimensional. es una figura elemental de la figura geomática.	línea curva figura
punto	_ de concentración de una línea, una superficie o un sólido. es una región infinitesimal de espacio donde se encuentra una concentración de materia.	línea superficie sólido
millón	cantidad de dinero equivalente a 1.000.000 unidades de una moneda	la definición no contiene palabras que se asocien con el dinero, por lo que no se pudo encontrar la respuesta.
millón	gran cantidad de dinero, equivalente a un _ de euros	la definición no contiene palabras que se asocien con la cantidad de dinero, por lo que no se pudo encontrar la respuesta.
millón	cantidad de dinero grande, equivalente a un _ de unidades de moneda de un país	la definición no contiene palabras que se asocien con la cantidad de dinero, por lo que no se pudo encontrar la respuesta.
millón	cantidad de dinero equivalente a 1.000.000 dólares	la definición no contiene palabras que se asocien con el dinero, por lo que no se pudo encontrar la respuesta.
millón	cantidad de dinero grande, equivalente a un _ de pesos. es una unidad de medida de dinero que se utiliza en muchos países, generalmente los países de habla inglesa y española.	la definición no contiene palabras que se asocien con el dinero, por lo que no se pudo encontrar la respuesta.
problema	un hecho que dificulta el logro de un objetivo o la realización de una tarea, o que causa inconvenientes o malestar.	impediment obstacle
problema	un elemento que dificulta el cumplimiento o la realización de una tarea o objetivo.	impediment obstacle
problema	situación adversa que requiere una solución o que dificulta la realización de un objetivo	no se encontraron palabras que encajen con la definición de situación adversa.
problema	situación que requiere solución, generalmente causada por una falta de algo o por el mal funcionamiento de algo	problem situación
problema	un asunto que dificulta la realización de una tarea o el cumplimiento de un objetivo	no se encontró ninguna palabra que encajen con la definición. la definición no contiene palabras que se asocian con la dificultad.
dar	transferir algo a alguien, o hacer algo por cuenta de alguien.	transferir transcribir transportar
dar	transferir algo a alguien, normalmente por medio de entrega o comunicación.	transferir transcribir enviar
dar	transferir algo de una persona o lugar a otra, generalmente por medio de movimiento o acción	transportar mover trasladar
dar	transferir algún objeto o persona de un lugar a otro, generalmente por medio de movimiento o desplazamiento.	traslado movimiento transferencia
dar	transferir algo de una persona o lugar a otra, generalmente por medio de movimiento o desplazamiento	transportar mover trasladar
social	que se refiere a la interacción entre personas, grupos o organizaciones. puede ser realizado de manera presencial o online, y puede involucrar una amplia gama de temas, actividades y emociones.	interacción intercambio comunicación
social	que se refiere a las relaciones entre personas, grupos o organizaciones	relaciones interacciones vinos
social	que se refiere a la conducta de las personas en relación con el comportamiento de los demás, generalmente en un contexto formal o oficial	conductual formal ofensivo
social	que se refiere a las relaciones entre personas, grupos y organizaciones. permite la interacción entre individuos, el intercambio de información y la colaboración.	relación interacción enlace
social	que se refiere a la interacción entre personas, generalmente en un contexto informal y voluntario	interacción enlace comunicación
política	el conjunto de fenómenos que se refiere a la organización y distribución del poder en un estado, así como las instituciones y mecanismos que se utilizan para gestionar el poder y el comportamiento político	Definición no conocida.
política	el conjunto de prácticas que se refiere a la organización del poder y el manejo de las relaciones entre estados, incluyendo la definición de _, el establecimiento de estructuras de organización _ y la conducción de relaciones internacionales.	la definición no contiene palabras que se asocien con el poder o la organización política, por lo que no se pudo encontrar la palabra que se busca.
política	estudo de los gobiernos y el gobierno de los estados, de la organización _ de las naciones y de los gobiernos internacionales.	gobierno estado organización nationes
política	sistema de normas, estructuras y mecanismos que gobiernan el comportamiento de los gobiernos en relación con el resto de las naciones, incluyendo la defensa, el comercio, la cooperación y la protección de los derechos humanos.	la definición no contiene palabras que se asocien con el comportamiento de gobiernos, por lo que no se pudo encontrar la respuesta.
política	estudo de las relaciones entre el poder y el gobierno de un país, así como el manejo de los asuntos internacionales	no se encontró ninguna palabra que encajen con la definición en el texto.
político	persona que se dedicó a la política, especialmente a la representación de un país o región en el gobierno	la definición no contiene palabras que se asocien con la política, por lo que no se pudo encontrar la respuesta.
político	perteneciente al ámbito de la política, relacionado con el gobierno o el ejercicio del poder	la definición no se ajusta a la palabra política. la palabra política se refiere a la práctica de la política, no a instrumentos de escritura.
político	persona que se dedica a la política, especialmente a ejercer cargos públicos o a trabajar en el gobierno	no se encontraron palabras que encajen con la definición de persona que se dedica a la política.
político	persona que participa en el gobierno de un país, especialmente el jefe de estado o el jefe de gobierno	presidente gobernador
político	persona que desempeña un cargo público en representación de un grupo _	representante cargo público
obra	objecto creado por el hombre con fines prácticos o decorativos, generalmente de acuerdo con una expresión de arte o diseño	arte diseno objetos
obra	una creación intelectual, generalmente escrita, que expresaba una idea o narrativa	la definición no se ajusta a la solicitud de encontrar palabras que se definan con la palabra instrumento de escritura. la definición se refiere a una creación intelectual, no a un instrumento de escritura.
obra	un producto de la actividad intelectual, especialmente: un texto, una imagen, una escultura o una composición musical.	texto imagen escultura composición
obra	pocción final que se obtiene de la creación o transformación de materia, de una entidad o de un concepto.	poción final derivación
obra	una creación humana, física o intelectual, resultante de la aplicación de la habilidad, el conocimiento y la creatividad.	obra creación arte
salir	_ de un lugar, dejar de estar en un lugar o estado, viajar	ubicar situar mover
salir	_ de un lugar, dejar un lugar, abandonar un lugar	salirse salir
salir	_ de un lugar o de una situación	local posición
salir	ejirse de un lugar, dejar un lugar, viajar	viajar salir irse
salir	_ de un lugar, dejar de estar en un lugar, trasladarse a otro lugar	trasladar mover transportar
ciudad	gran concentración de población con una organización política propia, generalmente con un gobierno local específico.	la definición no contiene palabras que se asocien con la concentración de población, por lo que no se pudo encontrar la respuesta.
ciudad	gran concentración de población en un lugar definido con relación a un territorio, generalmente con una estructura administrativa	ciudad población aglomeración
ciudad	gran pueblo que se caracteriza por su tamaño, población y organización urbana. es un centro de actividad económica, cultural y político.	la definición no contiene palabras que se asocien con el tamaño, la población o la organización urbana de un pueblo. por lo tanto, no se pudo encontrar la respuesta para la definición.
ciudad	gran población, generalmente con edificios altos, infraestructuras urbanas y servicios completos.	la definición no contiene palabras que se asocien con poblaciones, por lo que no se pudo encontrar la respuesta.
ciudad	gran concentración de población con organización política, generalmente con estructuras administrativas propias	no se encontraron palabras que encajen con la definición de gran concentración de población con organización política, generalmente con estructuras administrativas propias.
encontrar	locar por búsqueda o descubrir por casualidad. buscar con el fin de _ algo.	localizar buscar descubrir
encontrar	locar por medio de búsqueda o detección, determinar la posición de algo.	localizar situar determinar
encontrar	buscar, descubrir, reconocer o determinar algo. procurar, identificar o alcanzar algo.	buscar descubrir identificar encontrar
encontrar	buscar, explorar o descubrir algo por medio de búsqueda, esfuerzo o observación.	busqueda exploración descubrimiento
encontrar	locar o identificar con precisión un objeto, una persona o un lugar	preciso exacto exact
volver	ser o estar en el mismo punto de partida, después de haber realizado o completado una acción o movimiento	inicio punto de partida estado inicial
volver	regresar a un punto anterior en el tiempo, movimiento o posición con respecto a un punto de partida	retroceso regreso retroalimentación
volver	ser o estar en un punto de partida, o ser convertido en el punto de partida de algo.	inicio punto de partida origen
volver	ser capaz de ser dirigido por un punto, un ángulo o una línea de dirección	direccional guiado
volver	ser o estar en un lugar diferente al donde se encontraba previamente	ubicado situado localizado
seguir	producir un movimiento o cambios de posición en el espacio y tiempo, con una dirección determinada con respecto a un punto de referencia.	vector dirección trayectoria
seguir	continuar el movimiento o la posición de alguien o algo en relación con el tiempo, el espacio o la dirección	continuar producir mover
seguir	continuar en el mismo rumbo, línea o dirección	continuo directón ruta
seguir	continuar el movimiento o el flujo en el mismo rumbo, dirección u orientación.	continuo fluido directo
seguir	progressar, dirigirse hacia un punto o lugar, generalmente en movimiento	avanzar marcar avanzar
pensar	processar mentalmente la información, navegar entre pensamientos, elaborar opiniones y jugement, o experimentar conceptos	pensamiento meditación contemplación
pensar	producir imágenes, conceptos o sentimientos en el cerebro por medio de la reflexión, la concentración o la imaginación.	creación arte imaginación
pensar	processar mentalmente la información, incluir el razonamiento, la reflexión y la opinión	pensamiento razonamiento reflexión
pensar	cognición voluntaria de ideas, conceptos o imágenes, generalmente en relación con el pensamiento lógico o creativo.	pensamiento cognición idea
pensar	processar mentalmente la información, analizar, evaluar, integrar, sentir y reflexionar sobre un objeto, evento o situación.	pensamiento meditación contemplación
sistema	complejo de elementos que interactúan de acuerdo con un patrón específico para lograr una función determinada.	circulo triángulo cuarto
sistema	complejo de elementos que trabajan juntos para realizar una función o objetivo específico.	complejo sistema apariencia
sistema	complejo de elementos que interactúan de acuerdo con un patrón específico para realizar una tarea o alcanzar un objetivo.	complejo estructura mecánico
sistema	organización de elementos o componentes que trabajan juntos para realizar una función específica	estructura organización sistema
sistema	organización de elementos que interactúan de acuerdo con un propósito específico.	estructura organización ordenación
importante	que tiene un impacto o afectación considerable en el resultado o el desarrollo de algo	potente fuerz potente
importante	que afecta el destino, la continuación o la existencia de algo; que tiene una gran influencia en el resultado de algo.	potente influyente decidido
importante	que tiene un gran impacto en el resultado de alguien o algo, o que requiere atención y consideración.	potente influyente potente
importante	que tiene un gran efecto sobre el desarrollo o el curso de los eventos, o que requiere atención o acción de manera urgente	potente fuerte potente vigoroso
importante	que tiene un elevado grado de significación, que afecta significativamente la situación o el comportamiento de las cosas	potente fuerte potente
tipo	categoría de cosas que tienen características o propiedades similares	categoría grupo tipo
tipo	categoría de cosas que comparten características o propiedades similares	categoría grupo tipo
tipo	categoría o subcategory de un grupo de cosas con características o propiedades específicas.	categoría subcategoría
tipo	categoría, clase, género, especie de un objeto o concepto	categoría clase género especie
tipo	categoría de cosas que comparten una característica o propiedad particular	categoría grupo tipo
mes	unidad de tiempo de 30 días, que se utiliza para describir el tiempo de un año	la definición no contiene palabras que se asocien con el tiempo de un año, por lo que no se pudo encontrar la respuesta.
mes	unidad de tiempo de 29 días, equivalente a una cuarta parte del año. en español, se usa como singular de referencia a un _ específico, o como plural para referirse a varios _.	la definición no contiene palabras que se ajusten con el significado de la palabra mes. no se encontró ninguna palabra que encajara con la definición.
mes	unidad de tiempo de 29 días, equivalente a un quarto de la luna.	la definición no contiene palabras que se asocien con el tiempo, por lo que no se pudo encontrar la respuesta.
mes	unidad de tiempo de 30 días, también se utiliza para describir el tiempo de un año	mes meses
mes	unidad de tiempo de 30 días	la definición no contiene palabras que se asocien con el tiempo, por lo que no se pudo encontrar la respuesta.
económico	que se refiere a la actividad _ de un país o región, como el crecimiento del producto nacional, la tasa de empleo o el nivel de precios	Definición no conocida.
económico	relativo a la economía, el comercio o los ingresos	la definición no contiene palabras que se asocien con la economía, el comercio o los ingresos, por lo que no se pudo encontrar la respuesta.
económico	que se refiere a la condición general de un país o región con respecto a la producción, el consumo y la distribución de riqueza, así como el comportamiento _ de sus ciudadanos	no se encontró ninguna palabra que encajen con la definición. la definición no se refiere a palabras que se utilizan en el contexto de países o regiones.
económico	que se refiere a las actividades que se basan en el intercambio de bienes y servicios con el objetivo de obtener ganancia o riqueza	negocio empresa comercio
económico	que se refiere a la producción, distribución y consumo de bienes y servicios de un país en un período determinado	la definición no contiene palabras que se refaran a la producción, distribución y consumo de bienes y servicios de un país en un período determinado, por lo que no se pudo encontrar la respuesta para la solicitud.
agua	 líquido claro, inodoro, transparente, generalmente frío, que se encuentra en las fuentes, ríos y el mar	agua
agua	líquido incoloro, tasting y odorífero, que forma la mayoría de las superficies de la tierra y es esencial para la vida de los organismos.	Definición no conocida.
agua	 líquido claro, incoloro, insípido que se encuentra en muchas partes de la tierra. es esencial para la vida de los humanos y de muchos animales.	agua
agua	fluido que se encuentra en las fuentes, ríos, mares y otros cuerpos de _. es esencial para la vida de los animales y las plantas.	agua
agua	líquido inerte, transparente, sin color, alphabetido y sin olor, que se encuentra en las fuentes, el mar y el suelo. es esencial para la vida de los seres humanos y la mayoría de los animales.	agua
cambio	movimiento de posición o situación de algo con respecto a su posición anterior	cambio traslado movición
cambio	movimiento de posición o dirección de un objeto con respecto a un punto de referencia	posición dirección vector
cambio	movimiento de posición, dirección o estado de algo con relación a un punto de referencia	posición dirección estado
cambio	movimiento de posición o lugar de algo con respecto a un punto de referencia. es una transformación de posición o configuración.	posición ubicación posición
cambio	movimiento de posición o estado de algo con respecto a un punto de referencia	posición estado posición
derecho	regla que define la conducta o la acción de una persona o grupo en relación con el comportamiento de otros	regla norma estándar
derecho	regla o principio que define el comportamiento o la organización de algo, especialmente un grupo de personas, una nación o un estado.	regla principio norma
derecho	regla natural que se refiere a la posición de un objeto con relación a otro objeto o a una línea de referencia.	posición posición relativa posición en el espacio
derecho	lado opuesto de un objeto con respecto a un punto de referencia	lateral opuesto contrario
derecho	regla que define la conducta en un cierto contexto, especialmente en el ámbito legal o político.	regla norma ley
alto	en un nivel elevado de altura, muy elevado	alto elevado
alto	en el sentido de _, elevado, superior en relación con un punto de referencia o con el nivel del mar.	alto elevado
alto	en posición más _ de un punto de referencia, sobre el nivel del mar, o de cualquier otro punto de referencia de nivel inferior.	alto superalto
alto	en un punto más elevado de una superficie, punto más _ de un objeto	pico extremo borde
alto	situado en un punto más elevado de un nivel, punto o línea	alto superior elevado
situación	estado en que se encuentra algo o alguien en un momento determinado, con respecto a sus circunstancias, surroundings o posición	estado condición situación
situación	estado en que se encuentra algo en relación con su posición, dirección o condición en relación con otros objetos, eventos o conceptos.	posición posición situación
situación	estado en el que se encuentra algo o alguien con respecto a sus circunstancias, condiciones o posición.	estado condición situación
situación	estado de ser de un objeto en relación con sus circunstancias o el contexto en que se ubica.	condición estado situación
situación	estado, condición o conjunto de circunstancias en que se encuentra un objeto, persona o grupo de personas en un momento determinado.	estado condición situación
frente	superficie opuesta a otra superficie, generalmente de un objeto.	superficie frontera borde
frente	superficie superior de un objeto, opuesta a la superficie inferior.	superficie
frente	superficie opuesta a otra superficie, generalmente de un objeto	superficie frontera borde
frente	la superficie superior del cuerpo humano o de un objeto, opuesta a la espalda.	superficie
frente	el punto más elevado de un objeto con respecto al nivel del suelo. es la parte opuesta de la espalda.	pico summit máximo
hablar	realizar con la voz el sonido de las palabras, normalmente para transmitir información o sentimientos.	vocación sonido voz
hablar	un proceso de comunicación auditiva en el que una persona utiliza palabras para transmitir ideas, sentimientos o información a otra persona o grupo de personas.	comunicación idioma lengua
hablar	expresar ideas, opiniones o sentimientos por medio de palabras.	pen lapiz cerdo
hablar	realizar sonidos con la lengua para transmitir ideas, sentimientos o emociones	llingüística vocación sonido
