word	definition	predicted_words
cantautor	artista musical que compone y crea canciones con letras y melodía propias.	músico, compositor
cantautor	artista musical	un artista que se dedica a la creación de obras de arte a través de la música.
cantautor	"un _ es un creador de canciones que se encarga tanto de la música como de las letras de sus interpretaciones, normalmente acompañado de una guitarra. 
un ejemplo de _ es joan manuel serrat. 
otro ejemplo es mikel erentxun, exintegrante del grupo duncan dhu. 
otro ejemplo es rozalén, cantautora y compositora española. "	músico cantautor compositor
cantautor	artista que compone y ejecuta sus propias canciones, especialmente en el ámbito de la música popular.	músico, compositor
cantautor	persona que compone y canta sus propias canciones, usualmente expresando temas personales o sociales. 	músico, cantante
cantinero	persona que trabaja en un bar y se ocupa de servir las bebidas. 	camarero, camarera
cantinero	persona que trabaja en un bar o cantina sirviendo bebidas. 	camarero, camarera
cantinero	se dedica a vender bebidas en bares	vendedor de bebidas en bares
cantinero	hombre que se encarga de despachar bebidas y que atiende el bar de una cantina	barman, cantinero
cantinero	persona encargada del servicio de bebidas en un establecimiento, especialmente un bar o un restaurante	barman
cartulina	hoia de papel grueso y fino, usado para hacer manualidades.	papel
cartulina	hoja de papel de grosor elevado	papel grueso
cartulina	material de papel grueso y suave, utilizado principalmente para la fabricación de tarjetas y papeles decorativos.	cartón papel
cartulina	un material similar al papel, pero más grueso y robusto, utilizado comúnmente en manualidades y proyectos de arte	cartón cartón pluma cartón corrugado
cartulina	papel grueso y ligeramente más durable del papel normal ya que tiene relieve	cartón cartulina
centavo	moneda de origen incierto que representa el valor de 100 unidades. 	dólar euro libra esterlina
centavo	unidad monetaria equivalente a la centésima parte de un dólar o peso	centavo centavo de dólar centavo de peso
centavo	moneda de baja denominación en ciertos países que equivale a la centésima parte de una unidad monetaria mayor.	centavo décimo centavo de peso
centavo	moneda de baja denominación en muchos países	centavo penique centavos peniques
centavo	1 _ mexicano es 0,1 pesos en méxico, un dólar son 100 _. 	pesos dólares
cerebrotónico	que se relaciona o afecta al cerebro y al tono muscular	neurología psicología fisiología
cerebrotónico	_ y relacionado con el funcionamiento del cerebro y la regulación de la tonificación muscular. 	sistema nervioso tonificación muscular
cerebrotónico	substancia con actividad sobre el sistema nervioso central, usada en psiquiatría y neurología.	barbitúrico benzodiazepina antipsicótico
cerebrotónico	(la entrada original con mayúsculas) ritmo biológico que ajusta la actividad del cerebro. 	ritmo circadiano
cerebrotónico	relacionado con la médula espinal o la actividad del sistema nervioso central	cerebro espina dorsal nervios
chalaza	banda blanca de células de huevo en su extremo superior e inferior que forma parte de la yema	cáscara membrana albúmina
chalaza	surco de la yema del huevo en que se comunican los haceres de glóbulos rojo y blanco	cisterna cisternae
chalaza	niveles fibrosos de las membranas celulares, que suelen estar calcificados. 	desmosoma placas de unión
chalaza	"_,
  defin"	lápiz
chalaza	cordón de células que mantienen unidos los extremos de las alas de ciertas aves.	cola pluma
chigüire	mamífero de la familia de los cágados	ornitorrinco
chigüire	mamífero semiacuático de la familia de los quirópteros conocido como pez de castor que	castor pez
chigüire	mamífero de sudamérica comparable al castor	nutria
chigüire	la palabra chigü	(palabra 1), (palabra 2), (palabra n)
chigüire	mamífero marino con hasta 2.5 m de longitud y 350 kg de peso. 	ballena delfín orca
coliseo	gran construcción, generalmente redonda, para representaciones teatrales o eventos.	teatro coliseo auditorio
coliseo	edificio antiguo de forma ovalada donde se celebraban luchas de gladiadores o con animales para diversión del público.	coliseo
coliseo	anfiteatro de forma ovalada,	coliseo arena
coliseo	anfiteatro grande de roma donde se celebraban espectáculos teatrales y de lucha entre gladiadores.	coliseo
coliseo	es un gran edificio, generalmente de forma ovalada, construido para realizar espectáculos públicos en la antiguedad. 	coliseo arena estadio
conspirar	_ contra algo/algn.	contra, algn
conspirar	_	el instrumento de escritura que utiliza tinta y tiene una punta es el bolígrafo.
conspirar	urdir un plan en secreto para conseguir o lograr algo, especialmente de un modo ilegal o engañoso.	urdir un plan conseguir lograr ilegalmente engañosamente
conspirar	complot contra una autoridad superior	conspiración, conspiración, conspiración, conspiración, conspiración, conspiración, conspiración, conspiración, conspiración, conspiración, conspiración, conspiración, conspiración, conspiración, conspiración, conspiración, conspiración, conspiración, conspiración, conspiración, conspiración, conspiración, conspiración, conspiración,
conspirar	consp	conspirar, conspiración, conspiración
corbata	cuerda, lazada que se coloca al cuello para adornar y sujetar la camisa	cordón lazo corbata
corbata	_, cuello, accesorio, tejido, ajustado, forma	cuello
corbata	banda recta y ancha hecha de seda, algodón o lana, que se coloca alrededor del cuello y debajo de la camisa. la _ se ata en diversos estilos, como el nudo simple	pañuelo pañuelo
corbata	accesorio de tela usado en el cuello y sujeto con los extremos en la nuca. puede ser de diferentes formas y colores	bufanda pañuelo pañuelo
corbata	a partir de los datos proporcionados, generé una definición para la palabra _ que tiene un objetivo y es objetiva. evité usar la palabra original en la definición, y utilicé entre 5 y 25 palabras. 	instrumento de escritura que utiliza tinta y tiene una punta.
corralero	persona que trabaja o cuida de los corrales	pastor, pastora
corralero	la comida para el cor	comida, alimento
corralero	persona que se dedica al cuidado y guía de corrales	pastor
corralero	hombre que se desempeña en el ámbito de los corrales.	ganadero, pastor
corralero	_ significa “atento, sagaz y veloz como un animal del corral”.	zorro.
cosmotrón	aparato que produce rayos cósmicos al hacer chocar protones a gran velocidad.	telescopio de rayos cósmicos
cosmotrón	máquina capaz de generar un campo magnético superior al de cualquier otra de uso científico.	electromagnetismo invento máquina
cosmotrón	atómico de alta energía. bomba de rayos cósmicos.	átomo bomba rayos cósmicos
cosmotrón	los _ son grandes máquinas que generan haces de iones muy energéticos como los rayos cósmicos, que bombardean materiales pesados de gran tamaño o aceleran iones de un isótopo pesado como el plomo o el titanio para que choquen directamente contra un blanco de plomo. 	acelerador de partículas colisionador de iones
cosmotrón	dispositivo de partículas usado en investigación científica.	partícula, detector de partículas
crístico	"- relacionado con la fe cristiana
- perteneciente o inherente a la fe cristiana 
- concerniente a la fe cristiana 
- concerniente a la religión cristiana 
- perteneciente a la religión cristiana 
- asociado a la fe cristiana 
- ligado con la fe cristiana 
- unido a la fe cristiana 
- asunto de la fe cristiana"	religión, cristianismo, fe, doctrina, creencia, culto, dogma, práctica, doctrina, religioso, sacramento, sacerdotal, liturgia, misa, templo, iglesia, sacerdote, obispo, papa, monasterio, monje, religiosa, religioso, hermano, hermana, abad, abadesa, abadía, abadía, abadía,
crístico	perteneciente o relativo a la doctrina cristiana, o a la iglesia cristiana	cristianismo, doctrina, iglesia
crístico	la respuesta debe ser dada como el formato json antes especific	bolígrafo pluma estilográfica
crístico	perteneciente o relativo a la cristología.	la cristología es la rama de la teología que estudia la vida y enseñanzas de jesucristo.
crístico	perteneciente a cristo o relacionado con él	cristo, relacionado con cristo
cuentapartícipe	persona que participa en una cuenta de ahorro o inversión compartida.	ahorro inversión compartido
cuentapartícipe	persona que participa en una cuenta de inversión o una cuenta conjunta de ahorros.	inversionista, ahorrista
cuentapartícipe	tomara parte o intervenir en algo	tomará parte o intervenir en algo.
cuentapartícipe	persona que tiene una parte alícuota en los elementos de una masa patrimonial.	partícipe accionista dueño
cuentapartícipe	titular de una cuenta partícipe de un fondo de inversión	titular cuenta partícipe fondo inversión
dabuti	palabra en lengua wolof que significa amiga o amigo. también se utiliza en español para referirse a un amigo cercano o fiel.	amigo amiga amigo amigas amigos amigo fiel amigas fieles amigo cercano
dabuti	creación de joyería o adornos artesanales con materiales reciclados o naturales.	joyería artesanía reciclado naturaleza
dabuti	adjetivo que proviene del latin dobus que significa malvado. se utiliza para describir a una persona desagradable o inmoral.	malvado malicioso perverso
dabuti	la respuesta será de un nivel de complejidad acorde a	la respuesta será de un nivel de complejidad acorde a la pregunta.
dabuti	la palabra _ es un término con uso común en ciertas culturas y lenguas, pero cuyo significado es difícil de precisar y puede variar en su interpretación. su origen es africano y se refiere a una idea vaga o abstracta, no pudiendo ser definida con exact	concepto idea noción
dactiloscopia	estudio y análisis de las características de las huellas dactilares para identificar a una persona en el campo de la criminología.	dactiloscopia identificación criminología
dactiloscopia	_	palabra 1
dactiloscopia	la _ es un método para identificar a una persona basándose en las características únicas de sus huellas dactilares.	la huella dactilar.
dactiloscopia	_ significa que estudia las características de las yemas de los dedos de las manos de los seres humanos. 	la dactiloscopia.
dactiloscopia	estudio y análisis de las huellas dactilares para identificar y vincular a una persona con un delito o acción específica. 	dactiloscopia, dactiloscopia, dactiloscopia, dactiloscopia, dactiloscopia, dactiloscopia, dactiloscopia, dactiloscopia, dactiloscopia, dactiloscopia, dactiloscopia, dactiloscopia, dactiloscopia, dactiloscopia, dactiloscopia, dactiloscopia, dactiloscopia, d
deformabilidad	capacidad de un material para deformarse reversiblemente sin romperse	elástico elásticos elástica
deformabilidad	propiedad de los líquidos y fluidos que indica la cantidad de deformación que experimentan cuando se ejerce una fuerza sobre ellos.	coeficiente de deformación
deformabilidad	capacidad que tiene un sólido para deformarse en respuesta a una fuerza.	plasticidad ductilidad
deformabilidad	la forma de algo que se ha	forma, configuración, estructura, configuración, configuración, configuración, configuración, configuración, configuración, configuración, configuración, configuración, configuración, configuración, configuración, configuración, configuración, configuración, configuración, configuración, configuración, configuración, configuración, configuración, configuración, configuración, configuración, configuración, configuración, configuración, configuración
deformabilidad	la plastilina es un ejemplo de material con alta _, ya que se puede moldear y dar diferentes formas cuando se ejerce presión sobre ella, pero recupera su forma original una vez que se retira la fuerza. 	viscosidad plasticidad
desinfección	//www.rae.es/drae/desinfectado)	desinfectado desinfección
desinfección	acción de purificar un objeto o superficie de gérmenes y bacterias utilizando productos químicos o calor	esterilización pasteurización
desinfección	proceso de esterilización para eliminar gérmenes y agentes patógenos que pueden causar enfermedades. 	esterilización esterilizar esterilizador
desinfección	proceso de eliminación de microorganismos patógenos de una superficie o sustancia, dejándola libre de gérmenes.	esterilización pasteurización
desinfección	proceso de eliminación o reducción de microorganismos patógenos en un ambiente o superficie, con el objetivo de prevenir infecciones o contagios.	esterilización desinfección sanitización
desinsectación	proceso para eliminar o controlar insectos no deseados mediante métodos químicos o biológicos	control de plagas eliminación de plagas
desinsectación	proceso de eliminación de insectos perjudiciales de un lugar o ámbito.	desinsectación
desinsectación	eliminar, desinfección, pesticida, cucaracha, mosca, hormiga, ratón, venenoso, insecticida. 	venenoso insecticida
desinsectación	eliminación o control de insectos no deseados mediante métodos químicos o biológicos	control de plagas eliminación de insectos
desinsectación	proceso para eliminar insectos sin dañar el entorno.	desinsectización control de plagas
desmitificador	persona que tiene la capacidad de disolver un mito o desmontar un falso paradigma mediante la	lógica
desmitificador	persona que desacredita o desmiente teorías, creencias o afirmaciones.	escéptico crítico
desmitificador	//cursodeidiomas.info/379/que-es.html 	no se puede definir una palabra con la información dada.
desmitificador	_ es una aplicación tecnológica que simplifica la información compleja y la presenta de manera más comprensible para el usuario sin menoscabar la validez.	herramienta software aplicación
desmitificador	la labor de un periodista es la de un _, ayudando a informar a los lectores de los hechos reales sin dejarse llevar por los prejuicios	periodista
diligentemente	falta de atencion y desinteres por las obligaciones.	Definición no conocida.
diligentemente	el presidente trabajó _ para lograr una reunión con el mandatario chino. 	con, para, una, con, una, con, una, con, una, con, una, con, una, con, una, con, una, con, una, con, una, con, una, con, una, con, una, con, una, con, una, con, una, con, una, con, una, con, una, con,
diligentemente	con cuidado y esmero	cuidadosamente esmeradamente
diligentemente	trabajar meticulosamente y de forma cuidadosa	trabajar meticulosamente cuidadosamente
diligentemente	tramitar o realizar algo con cuidado y esmero	tramitar realizar
emparejador	persona o cosa que empareda. 	muro pared
emparejador	persona que arregla las relaciones o acuerdos entre dos personas o grupos que tenían diferencias o rencores. 	mediador conciliador pacificador
emparejador	dispositivo que empareja dos objetos	emparejador emparejador de cables
emparejador	persona que empareja o junta dos objetos, partes o seres que estaban desacompañados.	parejador emparejador emparejador
emparejador	personado destinado a juntar o emparejar.	par pareja parejita parejón parejita
empurpurado	"color púrpura, que es un color entre el violeta y el azul en el espectro de la luz. es un tono oscuro y profundo, similar al color de una ampolla de vino tinto. algunas tonalidades cercanas podrían incluir el morado opaco o el color lavanda, aunque estos tonos puedan tener sutiles diferencias en su matiz y saturación. en la paleta de colores, suele ser un color vibrante y saturado. 
en el uso del vocabulario español, el color púrpura se asocia con"	violeta azul morado lavanda oscuro profundo tonalidades matiz saturación vibrante saturado
empurpurado	teñido de un color rojizo oscuro	el teñido de un color rojizo oscuro puede ser una opción interesante para decorar una prenda de vestir.
empurpurado	"teñido con carmín o púrpura
',"	teñido con carmín o púrpura
empurpurado	teñido o teñido de púrpura.	teñido o teñido de púrpura.
empurpurado	el término _ se refiere al color de un telón u otro elemento que sugiere la profundidad de la noche, envuelto en un tono púrpura profundo y apagado, similar al cielo estrellado, con una oscuridad en	la que se pueden ver las estrellas.
epifito	el musgo	el musgo
epifito	organismo vegetal que crece sobre	el bambú es una planta de la familia de las liliaceae. se trata de una liana arb
epifito	organismo vegetal que crece sobre otro, como líquenes o orquídeas.	los líquenes y las orquídeas son organismos que crecen sobre otros organismos,
epifito	organismo que crece sobre otro, aprovechando sus recursos	la empresa xyz está creciendo rápidamente y está aprovechando sus recursos para expandirse en nuevos mercados.
epifito	plant	Definición no conocida.
escorar	los navegadores usan técnicas de escora o inclinación en momentos de tormenta para evitar que la embarcación se dañe o se vuelque. en tierra, las máquinas pesadas y los rieles ajustables se utilizan para inclinarlas en diferentes ángulos, como	tormenta dañar volcar máquinas pesadas riel ajustable
escorar	alteración no planificada de la dirección de un barco o aeronave. 	desviación desvío desviación de la ruta
escorar	inclinarse lateralmente o de forma	inclinarse, lateralmente, de forma
escorar	inclinar lateralmente un	instrumento de escritura que utiliza tinta y tiene una punta
escorar	_	bolígrafo, pluma, estilográfica
estadista	persona que se dedica al estudio de la estadística o que se caracteriza por una buena competencia en esta disciplina.	estadístico estadística analista de datos
estadista	término no conocido.	instrumento, escritura, tinta, pluma, bolígrafo
estadista	persona versada en estadísticas e indicadores que son usados en el desarrollo de políticas públicas. 	estadístico analista de políticas públicas
estadista	persona experta en estadística y análisis de datos, capaz de tomar decisiones informadas basada en	datos y tendencias.
estadista	persona experta en estadísticas y su uso en la toma de decisiones políticas y económicas.	estadístico economista
esteatosis	proliferación de tejido adiposo en diversas vísceras debido a una acumulación excesiva de grasas en sus células.	obesidad exceso de grasa tejido adiposo
esteatosis	afección en la que hay un excesivo depósito de grasa en el hígado. 	la palabra que buscas es esteatosis hepática.
esteatosis	enfermedad que se caracteriza por la acumulación excesiva de triglicéridos en el tejido hepático, también puede presentarse en otros tejidos del cuerpo y es un factor de riesgo para otras condiciones como la diabetes tipo 2, la esteatohepatitis (	enfermedad, triglicéridos, tejido, excesiva, acumulación, hepático, otros, tejidos, factor, riesgo, condiciones, diabetes, tipo, 2, esteatohepatitis, hepatitis, hepática, hepáticos, hepático, hepáticos, hepáticos, hepáticos, hepáticos, hepáticos, hepáticos, hepáticos
esteatosis	_ benigna, esteatohepatitis y cáncer hep	la esteatohepatitis c es una enfermedad hepática crónica que puede progresar a cirrosis y cáncer de hígado.
esteatosis	afección en la que se acumula una gran cantidad de grasa en el hígado.	la palabra clave para esta afección es esteatohepatitis.
estuco	material de construcción compuesto de cal y polvo de piedra con agua de harina de cereal o resina.	hormigón cemento
estuco	material de construcción fino y resistente compuesto principalmente de cal apagada, arena y agua utilizado para la decoración y protección de superficies en edificios y obras de arte.	cemento mortero
estuco	material fino y liso empleado en la decoración de paredes y techos.	yeso estuco
estuco	//es.wikipedia.org/wiki/estuco 	el estuco es un material de construcción compuesto de cal, arena y agua.
estuco	material de construcción compuesto de sustancias naturales y arena que se aplica en superficies exteriores para proteger y decorar edificaciones	yeso cemento piedra
exequias	funeral solemne en memoria de una persona fallecida.	funeral solemne en memoria de una persona fallecida
exequias	funerales o actos fúnebres en honor a una persona fallecida. 	funeral funerales honores persona fallecida
exequias	funeral(s) para honrar a una persona que ha fallecido	funeral honores homenaje sepelio
exequias	se pueden ofrecer sacrificios en las exequias para conmemorar a los muertos y se espera que asistan amigos o familiares cercanos. en muchas culturas, las exequias son vistas como una despedida apropiada para los muertos antes de	funeral entierro velatorio
exequias	rito y ceremonia funeraria 	funeral rito ceremonia
faisánido	clase de aves no homogénea, formada por dos órdenes, anatidae y phasianidae	aves anatidae phasianidae
faisánido	orden de aves galliformes, el cual incluye al faisán y aves relacionadas.	aves faisán
faisánido	_,	, ,
faisánido	grupo taxonómico (de aves) al que los faisanes pertenecen	faisán
faisánido	_ es un orden de aves que comprende especies como faisanes y pavos reales. 	el faisán es un orden de aves que comprende especies como faisanes y pavos reales.
fétido	el hedor _ que provenía del contenedor de basura era nauseabundo. 	el hedor.
fétido	olor desagradable y pútrido	maloliente nauseabundo fetidez
fétido	olor muy desagradable	olor, nauseabundo, asqueroso
fétido	compuesto químico que genera una reacción de oxidación al reaccionar con un compuesto, en donde uno de los elementos gana electrones y otro los pierde. 	compuesto químico reacción de oxidación electrones oxidación
fétido	malo y hedoroso	maloliente maloliente maloliente
floración	proceso por el cual una planta produce y saca flores.	floración polinización polen
floración	proceso de brotación y crecimiento de las flores en las plantas	floración polinización polen
floración	proceso de brotar y desarrollarse de las flores, parte herbácea y delicada de algunas plantas.	floración desarrollo brote
floración	fenómeno o proceso biológico que marca el desarrollo y crecimiento de las flores en las plantas. 	floración desarrollo crecimiento
floración	"_ f. acción y efecto de florecer. 
_. aparición y desarrollo de las flores en una planta. 
_. crecimiento y brotación de las flores en una planta. 
_ f. acción y efecto de florecer."	floración florecer flor
fotogramétrico	perteneciente o relativo a la fotogrametría	fotogrametría
fotogramétrico	geofotografía, fotografía aérea, fotogrametría terrestre, fotómetro, termógrafo.	geofotografía fotografía aérea fotogrametría terrestre fotómetro termógrafo
fotogramétrico	perteneciente o relativo a la fotogrametría. 	fotogrametría
fotogramétrico	método preciso y eficiente para determinar la forma y medida de los objetos mediante el uso de fotografías y otros métodos de medición.	fotogrametría
fotogramétrico	proceso y técnica para determinar las dimensiones, formas y posiciones de objetos a partir de fotos especializadas 	fotogrametría
funcionario	persona que desempeña funciones públicas en calidad de empleado estatal o municipal, cuyo nombramiento suele ser permanente y cuya función consiste en aplicar leyes, administrar justicia o	juez fiscal notario registrador inspector funcionario
funcionario	persona que trabaja para el estado o una institución y percibe una remuneración por ello.	funcionario empleado trabajador
funcionario	(persona que trabaja para el estado en un cargo que requiere un alto nivel de especialización y experiencia)	funcionario alto cargo experto
funcionario	¿persona que desempeña un cargo en alguna institución o trabajo por cuenta de un estado?	funcionario empleado
funcionario	persona que desempeña un cargo o empleo público.	funcionario cargo empleo
gabato	pequeña ave marina que habita la zona del pacífico y se alimenta principalmente de plancton y de desechos orgánicos.	albatros
gabato	animal marsupial que se asemeja a un mapache	marsupial mapache
gabato	sujeto que actúa como un bruto o un estúpido	 bruto estúpido
gabato	mamífero de cuerpo cilíndrico y miembros posteriores más cortos que los anteriores	castor nutria mapache
gabato	un _ es un término que originalmente se refería a un niño de gato, pero también puede describir a una persona joven o un término afectuoso utilizado para referirse a un individuo más joven. 	gatito joven niño amigo
garcilla	aves carnívoras de pequeño tamaño con patas largas y mirada alerta	aves rapaces
garcilla	_ 	no se puede definir.
garcilla	ave migratorio de tamaño pequeño-mediano, perteneciente a la familia de los ardeidas y al orden charadriiformes. se alimenta principalmente de pequeños peces e invertebrados, siendo depredadores	garza avutarda ave
garcilla	ave de rapiña de tamaño pequeño-mediano, con plumaje gris claro y pico largo y curvado, propia de la zona palustre, de la familia accipitridae.	halcón águila buitre
garcilla	ave de rapiña de pequeño tamaño, de color gris amarillento en partes superiores e inferiores, pico largo y estrecho, cabeza pequeña y redondeada	halcón águila buitre
giroscopio	dispositivo mecánico o electrónico que consta de una rueda o disco pesado en su eje y montado de tal manera que gira libremente. se utiliza para estabilizar y controlar la orientación en sistemas como aviones, rovers espacial y drones.	giroscopio estabilizador de imagen plataforma de estabilización
giroscopio	dispositivo mecánico, electromecánico o electrónico, empleado para mantener la orientación o posición de un objeto, mediante la estabilidad de un cuerpo giratorio sobre su propio eje, en respuesta a fuerzas externas.	giroscopio compas brújula
giroscopio	instrumento óptico	linterna telescopio linterna de bolsillo
giroscopio	dispositivo mecánico o electrónico que conserva su eje de rotación estable, mostrando cambios en la orientación ante fuerzas externas, usualmente empleado en aeronaves y vehículos para estabilización y navegación	giroscopio
giroscopio	medio de transporte (avión, barco)	avión barco
helenizante	la cultura griega ha sido conocida por su rica historia y su influencia duradera en muchas otras culturas a lo largo de la historia. por lo tanto, es común encontrar características helenistas o _ en otras culturas, especialmente en la arquitectura, las artes y	la filosofía.
helenizante	lengua indoeuropea hablada en	europa central y oriental
helenizante	que tiende a adoptar elementos de la cultura griega	neoclásico neoclasicismo
helenizante	se consideran helen	griego, instrumento, escritura
helenizante	_,	,
hipogino	término no conocido.	palabra 1 palabra 2 palabra n
hipogino	espacio bajo una iglesia o un edificio público, donde se guardaban los	tesoros.
hipogino	recámara baja	cuarto cuarto de baño cuarto de estar
hipogino	tabique anterior, formado por el ligamento red	tabique septum
hipogino	cavidad situada bajo el hueso pubis del suelo pélvico, donde tienen lugar la fecundación y el desarrollo del embrión, y que constituyen las esferas uterina, vaginal y vulvar	útero vagina vulva
incrustar	agre	agregar sumar adicionar
incrustar	integrar o insertar algo en otro objeto o estructura.	insertar integrar
incrustar	introducir o incorporar algo en otro objeto o medio.	insertar introducir incorporar
incrustar	fijar con seguridad en el interior de algo.	fijar, fijamente, fijamente, fijar, fijar, fijar, fijar, fijar, fijar, fijar, fijar, fijar, fijar, fijar, fijar, fijar, fijar, fijar, fijar, fijar, fijar, fijar, fijar, fijar, fijar, fijar, fijar, fijar, fijar, fijar
incrustar	anclar o insertar de forma permanente en un lugar o cosa.	anclar insertar fijar fijar de forma permanente
intercadencia	interrupción temporal seguida de una nueva actividad.	pausa reanudación
intercadencia	pérdida de la sucesión de sonidos al pronunciar una palabra de forma rápida y consecutiva	fricción truncamiento triliteral trisemia
intercadencia	ocurrencia de alternancia entre dos o más palabras de una misma raiz	alternancia ocurrencia palabras
intercadencia	repetición sucesiva de una misma letra, sílaba o sonido en palabras que se suceden sin solución de continuidad.	aliteración aliteración aliteración
intercadencia	repet	repetición repetir
jaín	seguidor del jainismo.	jainista
jaín	estilo de meditación que se enfoca en el desarrollo de la atención plena y la ecuanimidad.	meditación mindfulness atención plena equanimidad
jaín	una persona que sigue la religión jaina. no se requiere	no hay respuesta.
jaín	persona que practica el jainismo, religión india no teísta basada en la no violencia y el respeto por todas las formas de vida. 	jainista
