word	definition	predicted_words
corralero	alguien que se dedica a cuidar y manejar animales en un corral o en un recinto cerrado.	"1. animal keeper
2. zoologist
3. veterinarian
4. farmer
5. rancher
6. stablehand
7. groom
8. barn manager
9. livestock manager
10. ranch hand

i hope these suggestions are helpful! let me know if you need any more assistance."
corralero	persona que caza o cría animales en un corral o en un espacio cerrado, generalmente para su comercialización.	"1. rancher
2. farmer
3. breeder
4. herdsman
5. ranch hand
6. stockman
7. shepherd
8. cowboy
9. sheep herder
10. goatherd

i hope these suggestions are helpful! let me know if you need any more assistance."
corralero	persona que cría y cuida animales en un corral o recinto	"criador o custodian son palabras que podrían usarse para referirse a una persona que cría y cuida animales en un corral o recinto.

* criador se refiere a la persona que cría o criía animales, especialmente en un ambiente natural o semi-natural, como un corral o un jardín.
* custodian se refiere a la persona que cuida o toma cuidado de animales, ya sea en un corral, un zoo, un ref"
corralero	persona que cuenta y cuida el ganado en un corral o en una granja.	* monitorear la salud
corralero	"alguien que cuida y manage el ganado en un corral o establo.
```"	criador
cosmotrón	tubo cargado con un conjunto de partículas subatómicas que se acceleran y se dirigen a un objeto o punto de destino mediante un campo magnético	acelerador de partículas, tubo de partículas, campo magnético, partícula subatómica
cosmotrón	instrumento utilizado para estudiar la estructura del universo, principalmente utilizando ondas electromagnéticas.	"1. telescope
2. microscope
3. spectroscope
4. radiometer
5. interferometer
6. radio telescope
7. space telescope
8. infrared telescope
9. ultraviolet telescope
10. x-ray telescope

if none of these words match the definition, please provide more context or clarify the definition of the term you are looking for."
cosmotrón	equipo de investigación situado en un espacio sideral para realizar experimentos de física y astronomía.	spacecraft, satellite, telescope
cosmotrón	un dispositivo de investigación que permite estudiar el espacio exterior	telescopio
cosmotrón	instrumento científico que investiga el universo a través de la detección de partículas subatómicas y su interacción con el espacio	telescopio, detector de partículas, acelerador de partículas, experimentos de física de partículas, instrumentos de astrofísica
crístico	referente a la cruz, relacionado con ella o utilizado como símbolo de christianismo	cruz, cruzado, cristiano, simbólico
crístico	relativo a la cruz	cruz, cruzado, cruzado, cruzamiento
crístico	complimento o juicio favorable sobre alguien o algo	youre doing a great job!
crístico	relativo a la cruz o a la religión cristiana	cruz, crucifix, crucifixion, cross, christ, christianity, religión, bible, jesus, god
crístico	perteneciente o relativo a la cruz	"1. crucifix - a cross with a figure of jesus on it
2. crossbow - a weapon that shoots arrows in a curved path
3. cross-country - involving or located across a country or region
4. cross-stitch - a type of embroidery stitch used to create a cross-like pattern
5. cross-country skiing - a type of skiing done on a flat or hilly terrain
6. cross-dress - to dress in"
cuentapartícipe	persona que relata o participa en una historia o episodios, generalmente en forma de broma o chiste.	actor, personaje, personaje secundario, narrador, representante, personaje principal, comediante, cómico
cuentapartícipe	participante activo en una historia o relato	"1. character
2. protagonist
3. antagonist
4. supporting character
5. sidekick
6. love interest
7. conflict
8. observer
9. narrator
10. voice

i hope these suggestions help! let me know if you need anything else."
cuentapartícipe	persona que participa en una historia o anécdota, frecuentemente como narrador o parte activa.	"* narrador
* protagonista
* personaje
* participante
* actor
* persona involucrada
* testigo
* testigo principal
* persona clave

espero que te sean útiles. ¡si necesitas más ayuda, no dudes en preguntar!"
cuentapartícipe	persona que comparte o participa en una historia o experiencia	protagonist, antagonist, supporting character, narrator, actor
cuentapartícipe	persona que relate o contar una historia o experiencia, especialmente en una reunión o encuentro social.	narra, contador, relator, historiador, testigo, informador
dabuti	to play or dance energetically and enthusiastically, often with a lot of movement and gestures	"* bustar is the verb to bust in spanish, which means to burst or to break out in english.
* un movimiento means a movement or a dance in spanish.
* energ"
dabuti	aceptar o recibir con benepléite o satisfacción	"* receive with pleasure
* welcome with pleasure
* take with delight
* accept with satisfaction
* fe"
dabuti	fichar o registrar datos en un sistema de información	el proceso
dabuti	transportar o llevar con cuidado.	"* convey
* carry
* move
* transport
* transfer
* ferry

antonym"
dabuti	persona que obtiene algo de manera ingrate o avara, que no agradece o recogniza el favor o el esfuerzo de los demás.	"1. scrooge
2. cheapskate
3. stingy
4. penny-pincher
5. grinch
6. unappreciative
7. ungrateful
8. stingybastard
9. scroogey
10. cheap

i hope these suggestions are helpful! let me know if you need any more assistance."
dactiloscopia	examen de huellas digitales para identification	la capacidad de una persona
dactiloscopia	examen que se realiza en los dedos de los pies para determinar la presencia de líneas o signos que pueden indicar enfermedades en various partes del cuerpo.	análisis de dedos de pie, examen de líneas en pies, diagnóstico de pies, signos en pies, enfermedades en pies
dactiloscopia	examen de las rayas de la línea de crecimiento de los dedos para determinar la edad o la antigüedad de un individuo	the term raya de crecimiento de los dedos is not a commonly used term in english, and it is not clear what it means. it is possible that it is a misspelling or a term used in a specific context or field. if you have any additional information
dactiloscopia	examen de las huellas dactilares para determinar la identidad de una persona	1. análisis de huellas de ded
dactiloscopia	examen del tipo y forma de los dedos del pie para determinar características médicas.	"el examen del tipo y forma de los dedos del pie es una técnica utilizada en medicina para determinar características médicas. el pie es un miembro del cuerpo humano que se compone de 5 dedos (plantar, medial, lateral, lateral y hallux) y se utiliza para apoyar el peso del cuerpo durante el ambulatory y para realizar diversas funciones, como caminar, correr, saltar y equilibrar el balance.

el tipo de dedos del pie puede variar según la edad,"
deformabilidad	capacidad de cambiar de forma sin deformar o dañar el material, como en el caso de algunos materiales elásticos o viscoelásticos.	elástico, viscoelástico, elástico, viscoelástico
deformabilidad	capacidad de un material o structure para cambiar forma sin romperse under stress o deformation.	"durabilidad es un término que se refiere a la capacidad de un material o estructura para resistir a la deformación o el daño bajo la acción de cargas o estrés. en otras palabras, la durabilidad se refiere a la capacidad de un material o estructura para mantener su forma y resistir a la deformación o el daño a lo largo del tiempo, incluso cuando se enfrenta a cargas o estrés significativos.

la durabilidad es una propiedad importante en la diseño de"
deformabilidad	capacidad de cambiar de forma o distribución sin romper o deformar	"la capacidad de un material o objeto para cambiar de forma o distribución sin romper o deformar se conoce como malleabilidad o suavidad.

la malleabilidad es una propiedad de un material que indica su capacidad para deformarse o cambiar de forma sin perder su integridad o estructura básica. es decir, un material mallable puede ser estirado, doblado o flexionado sin romperse o deformarse irreversiblemente.
la malleabilidad es una propied"
deformabilidad	propiedad de un material para cambiar de forma sin resistencia bajo el influjo de una fuerza o presión	"la propiedad que se refiere a la capacidad de un material para cambiar de forma sin resistencia bajo el influjo de una fuerza o presión se conoce como **plasticidad**.

la plasticidad es una propiedad mecánica que se refiere a la capacidad de un material para deformarse o cambiar de forma sin romperse cuando se aplica una fuerza o presión sobre él. en otras palabras, los materiales plásticos son aquellos que pueden cambiar de forma plástica sin romperse cuando se les"
deformabilidad	capacidad de un material o cuerpo para ser estirado, doblado o deformado sin romperse o cambiar de forma manteniendo su integridad	some of these words may have slightly different connotations or nuances, but they all generally refer to the ability of a material or body to be bent, stretched, or deformed without breaking or changing shape.
desinfección	proceso o medida que mantiene o restablece la pureza de un objeto o situación, eliminando o reduciendo el contagio de virus, bacterias o otros organismos dañinos.	desinfectante, disinfectante, desinfección, disinfección, cura, terapia, procedimiento, medida de higiene
desinfección	proceso o medida para eliminar o reducir la cantidad de bacterias, virus o otros contaminantes pathógenos en un medio o superficie.	sanitize, sterilize, disinfectant, clean, sanitation, purify,
desinfección	proceso o medida utilizada para eliminar o reducir microorganismos o sustancias dañinas desde un objeto o espacio.	disinfectant, sanitizer, decontamination, sterilization, cleaning, purification
desinfección	proceso o medida que impide la propagación o elimina microorganismos nocivos en un espacio o objeto.	disinfectar.
desinfección	 eliminación o reducción de microorganismos o partículas dañinas de un objeto o espacio mediante el uso de disinfectantes o other treatments	"* disinfectant
* sanitizer
* sterilizer
* decontamination
* sanitation
* cleaning
* purification
* disinfect
* sanitize
* sterilize
* purify

i hope these suggestions are helpful! let me know if you need any more assistance."
desinsectación	el proceso de eliminar insectos o ácaros de una persona o objeto.	pulverizar limpiar desinfectar
desinsectación	el proceso de eliminar insectos o otros organismos plagas de un lugar o objeto	"1. extermination
2. eradication
3. elimination
4. removal
5. expedition
6. excision
7. extirpation
8. exclusion
9. extermination
10. pest management

i hope these suggestions are helpful! let me know if you need any more assistance."
desinsectación	 eliminación de insectos o ácaros de un organismo o objeto	"1. extermination
2. eradication
3. elimination
4. removal
5. exclusion

i hope these suggestions are helpful! let me know if you need any further assistance."
desinsectación	el proceso de eliminar insectos o arañas de una zona o objeto	this term refers to the removal or destruction of a pest population, including insects
desinsectación	proceso de remoción o eliminación de insectos o arañas de un lugar o objeto.	"* extermination
* eradication
* elimination
* removal
* expedition
* extirpation
* excision
* excavation
* extraction

i hope these suggestions are helpful! let me know if you need any more assistance."
desmitificador	alguien o algo que desmantela o desmente mitos o creencias falsas	"1. debunker
2. dispel
3. refute
4. refutation
5. rebuttal
6. counterargument
7. debate
8. critique
9. exposé
10. explanation

i hope these suggestions help! let me know if you have any other questions."
desmitificador	alguien o algo que desmantela una mitosis o creencia errónea mediante argumentos racionales y evidencia	"1. desmantelador
2. refutador
3. contraargumentador
4. aficionado
5. crítico
6. analista
7. investigador
8. escéptico
9. pensador crítico
10. ateo

es"
desmitificador	alguien o algo que destaca o disipa mitos o nociones equivocadas	"1. refutationist
2. debunkler
3. dispellier
4. mythbuster
5. misconceptions
6. illuminator
7. enlightener
8. clarifier
9. reality-checker
10. truth-seeker

i hope these suggestions help! let me know if you need any more assistance."
desmitificador	alguña que desvía o niega la creencia o opinión de alguien, presentando argumentos o evidencias contuyentes.	es una palabra que se utiliza para negar o desmentir una afirmación o cre
desmitificador	alguien o algo que desmonta o desmiente mitos o creencias falsas	"1. refutationist
2. counterargumentator
3. debunker
4. disputer
5. controverser
6. skeptic
7. critic
8. challengor
9. controversialist
10. debate coach

i hope these suggestions help! let me know if you have any other questions."
