word;pred_definition;pred_words;known
cantautor;Artista musical que compone y canta sus propias canciones, generalmente con un enfoque en la poesía y la narrativa, y que a menudo interpreta sus obras en vivo, utilizando instrumentos musicales y su voz como medios de expresión.;Músico, cantautor, trovador, poeta cantor, compositor, intérprete, artista vocal.;True
cantinero;Persona encargada de la venta y servicio de bebidas en establecimientos de entretenimiento, como bares, discotecas o restaurantes, que se caracteriza por su habilidad para atender a los clientes y recomendar productos.;Barman, bartender, camarero, mesero, servidor, mozo, licenciado.;False
cartulina;Material flexible y ligero, generalmente de papel o cartón, utilizado para escribir o imprimir textos, imágenes o dibujos, y que se caracteriza por ser delgado y fácilmente doblable.;Papel, cartulina, papelito, papelón, hoja, pergamino, papelera.;True
centavo;Moneda de pequeño valor, equivalente a una centésima parte de la unidad monetaria básica de un país, utilizada como unidad de cuenta o para pequeñas transacciones.;Centavo, céntimo, décimo, centésimo, dinero, moneda.;True
cerebrotónico;Característica de un compuesto químico que, al ser administrado por vía oral, es absorbido en el tracto gastrointestinal y posteriormente transportado a la circulación sanguínea, donde es metabolizado en el hígado y distribuido a los tejidos del organismo, incluyendo el cerebro, donde ejerce sus efectos farmacológicos.;Absorbable, bioabsorbable, liposoluble, hidrosoluble, soluble, absorbente.;False
chalaza;Parte del huevo de ave que se encuentra en la parte más gruesa del mismo, uniendo la membrana vitelina al cascarón, y que se caracteriza por ser una estructura fibrosa y resistente.;Blasa, albura, albareda, albura, vitelina.;False
chigüire;Animal mamífero que pertenece a la familia de los capropterídeos, caracterizado por su cuerpo alargado y su cola larga, que habita en zonas tropicales y subtropicales de América del Sur y Central.;Olingo, olinguito, paca, agouti, capybara.;False
coliseo;Edificio antiguo, especialmente el famoso de Roma, que se utilizaba para celebrar espectáculos públicos, como luchas de gladiadores, representaciones teatrales y otros eventos, y que se caracteriza por su arquitectura monumental y su capacidad para albergar a grandes multitudes.;Coliseo, anfiteatro, circo, teatro, arena, foro.;True
conspirar;Acción de planificar y ejecutar un plan secreto y malintencionado, generalmente con el fin de lograr un objetivo político, económico o social, mediante la coordinación y colaboración de varias personas o grupos.;Conspirar, trampear, intrigar, conspirar, maquinar, urdir, tramar, conjurar, cospirar, complotar.;True
corbata;Accesorio de vestir que se coloca alrededor del cuello, generalmente hecha de tejido o material suave, y que se utiliza para adornar o completar el traje de una persona, especialmente en contextos formales o ceremoniales.;Collar, cuello, corbata, barba, cravate, escarapela, aro, medallón, broche, alfiler.;True
corralero;Relativo a la cría o cuidado de ganado, especialmente caballos, o a la persona encargada de este trabajo.;Equinista, ecuestre, ganadero, pastor, criador, estabulero, equino.;False
cosmotrón;Aparato que utiliza campos magnéticos y eléctricos para acelerar partículas subatómicas a velocidades cercanas a la velocidad de la luz, permitiendo el estudio de la estructura y la composición de la materia y la energía en condiciones extremas.;Colisionador, acelerador, sincrotrón, ciclotrón, linac, accelerador de partículas.;False
crístico;Relativo o perteneciente a la figura o la celebración de una persona considerada divina o sagrada, especialmente en el ámbito religioso o litúrgico.;Divino, sagrado, religioso, litúrgico, beatífico, venerable, santo, sacro, celestial.;False
cuentapartícipe;Persona o entidad que tiene una participación o interés en una empresa, sociedad o proyecto, y que recibe dividendos o beneficios en función de su participación.;Accionista, accionista, socio, asociado, partícipe, accionista, accionista minoritario, accionista mayoritario, inversor, propietario.;False
dabuti;Término que se refiere a la condición de ser un individuo que ha alcanzado una gran edad, caracterizado por la experiencia y la sabiduría adquiridas a lo largo del tiempo.;Veterano, anciano, ancil, viejo, anciso, venerable, sabio, experimentado, docto, venerando.;False
dactiloscopia;Técnica de identificación y clasificación de las huellas dactilares, que implica la observación y registro de las características únicas de las impresiones digitales, utilizada en la investigación y la justicia para determinar la identidad de una persona.;Dactiloscopia, dactilografía, identiografía, huellística, impresología, dermatoglifía.;True
deformabilidad;Propiedad de un material que permite sufrir cambios en su forma o estructura sin romperse, sin embargo, estos cambios pueden ser reversibles o irreversibles, y se manifiestan a través de la capacidad del material para ser estirado, doblado, comprimido o deformado sin perder su integridad.;Elasticidad, flexibilidad, ductilidad, maleabilidad, plásticidad, resiliencia.;False
desinfección;Procedimiento o tratamiento destinado a eliminar o reducir la cantidad de microorganismos, como bacterias, virus o hongos, en superficies, objetos o entornos, con el fin de prevenir o controlar la propagación de enfermedades.;Desinfección, esterilización, antisepsia, desinfectación, desinfectamiento, desinfectivo.;True
desinsectación;Procedimiento o técnica destinado a eliminar o reducir la presencia de insectos en un espacio o superficie, mediante métodos como el uso de productos químicos, la limpieza y el control de la humedad, con el fin de mantener la higiene y la salubridad.;Desinfección, desinsectación, esterilización, fumigación, plaguicida, limpieza, desinfectación.;True
desmitificador;Técnica o estilo literario o artístico que tiene como objetivo desacreditar o desenmascarar la mitología, la leyenda o la superstición, a través de la exposición crítica y racional de los hechos y la realidad, con el fin de promover la comprensión y el conocimiento de la verdad.;Desmitificadora, desmitificante, desmitificatorio, desenmascaradora, desenmascarante, desenmascaratorio, racionalista, crítica, analítica, objetiva, científica.;True
diligentemente;De manera perseverante y constante, caracterizada por la aplicación de un esfuerzo y atención continuos y sistemáticos, con el fin de lograr un objetivo o realizar una tarea de manera efectiva y eficiente.;Sistemáticamente, persistentemente, continuamente, ininterrumpidamente, metódicamente, metódicamente, consecutivamente, sin interrupciones, sin pausas, sin descanso.;False
emparejador;Técnico o dispositivo que tiene la función de unir o conectar dos elementos, generalmente de manera simétrica o igualitaria, para lograr una unión estable y segura.;Unido, conjugado, conjugador, acoplado, acoplamiento, ensamblado, ensamblador, unificador, conectado, conectador, junta, juntao, articulado, articulador.;False
empurpurado;Técnica de coloración que consiste en teñir o colorear algo con un tinte o pigmento que le da un tono rojo intenso y brillante, similar al del púrpura, un color característico de la porfira, un mineral raro y valioso.;Púrpureo, porfiráceo, rubicundo, carmín, escarlata, rubí, rojizo.;False
epifito;Carácterístico de las plantas que crecen sobre otras, utilizando sus partes para apoyarse y recibir la luz y el calor necesarios para su desarrollo.;Epifítica, parasítica, epífito, parasito, epífitoide, epífitico.;False
escorar;Acción de hacer que algo se desvíe o se aparte de su curso normal, habitual o previsto, a menudo de manera brusca o inesperada, con el fin de evitar un obstáculo, cambiar de dirección o lograr un objetivo.;Desviar, desviarse, apartar, desviar, desplazar, desviar de, desviar hacia, cambiar de rumbo, tomar un desvío, hacer un giro.;False
estadista;Persona que ocupa un cargo político de alto nivel, generalmente responsable de la toma de decisiones y la gestión de un país, región o comunidad, y que se caracteriza por su habilidad para analizar y resolver problemas complejos, así como por su capacidad para liderar y influir en la opinión pública.;Presidente, gobernador, ministro, jefe de estado, jefe de gobierno, líder, político, estadista, funcionario público, dirigente.;True
esteatosis;Condición patológica caracterizada por la acumulación de grasas en las células del hígado, que puede ser causada por una variedad de factores, incluyendo la obesidad, la diabetes y el consumo excesivo de alcohol.;Hepatosis, steatosis, cirrosis, lipomatosis, adiposis, hígado graso.;False
estuco;Materia prima compuesta por una mezcla de cemento, arena y agua, utilizada para revestir y decorar superficies, como paredes y techos, mediante técnicas de aplicación y modelado.;Hormigón, yeso, estuco, albañal, argamasa, mortero.;True
exequias;Ritual religioso o ceremonial que se celebra en memoria de una persona fallecida, generalmente con la participación de familiares, amigos y allegados, y que puede incluir la lectura de oraciones, la entonación de himnos, la colocación de flores o la deposición de objetos personales en un lugar de sepultura o memoria.;Misas, velaciones, exequias, ritos, homenajes, despedidas, pésames, ofrendas, recordatorios.;True
faisánido;Característica o perteneciente a un grupo de aves galliformes, incluyendo especies como el faisán, el pavo y el perdiz, conocidas por sus plumas coloridas y su comportamiento silvestre.;Faisánico, pavonado, perdigero, galliforme, silvestre, ornitomorfo.;False
fétido;Caracterizado por una emanación desagradable y repugnante, que proviene de la putrefacción o descomposición de sustancias orgánicas, y que puede ser percibido por el sentido del olfato.;Pútrido, esteril, fétido, hediondo, pestilente, putrescente, olvidado, nauseabundo, repugnante, nauseoso.;True
floración;Proceso natural por el cual las plantas producen y exhiben sus flores, caracterizado por la apertura y desarrollo de las estructuras reproductivas de las plantas, que pueden ser simples o complejas, y que puede ser estacional o constante en algunas especies.;Floración, florecimiento, estación, primavera, florido, abertura, antesis.;True
fotogramétrico;Relativo a la técnica de medir y representar la forma y el tamaño de objetos a través de la toma de imágenes y la proyección de sus siluetas sobre un papel o pantalla, utilizada en la construcción, la ingeniería y la arquitectura.;ortográfico, proyectivo, perspectivista, siluetario, planimétrico, axonométrico.;False
funcionario;Persona que desempeña un cargo o oficio en una institución pública o privada, generalmente con responsabilidades administrativas, técnicas o profesionales, y que se rige por un conjunto de normas y procedimientos establecidos.;Empleado, funcionario, trabajador, servidor, oficial, administrador, ejecutivo, profesional, técnico, asistente, gerente, director, jefe, responsable.;True
gabato;Persona que se dedica a la venta ambulante de mercaderías, especialmente de pequeña cantidad y de manera informal, a menudo en mercados o plazas públicas.;Vendedor, vendedora, ambulante, mercader, vendedor ambulante, vendedora ambulante, estante, estantera.;False
garcilla;Aves de la familia Ardeidae, caracterizadas por su plumaje oscuro y su cuello y cabeza blancos, que se alimentan de peces y otros pequeños animales acuáticos, y que suelen anidar en zonas húmedas y boscosas.;Ardeola, garza, garceta, garzota, garza real, garza imperial.;False
giroscopio;Instrumento científico que mide la velocidad y la dirección de un movimiento rotatorio, utilizando la fuerza centrífuga y la inercia para mantener su eje de rotación estable en el espacio, permitiendo la medición precisa de la velocidad y la orientación de un objeto en movimiento.;Giroscopio, esferómetro, velocímetro, goniómetro, inclinómetro, gyro.;True
helenizante;Tendente a adoptar o influir en la cultura, la lengua y las costumbres griegas, especialmente en el sentido de imitar o emular el estilo y la espiritualidad de la Antigua Grecia.;Helénico, helenizante, griego, neohelénico, helenizante, classicista, hellenista.;True
hipogino;Térmico que se refiere a un cuerpo celeste que orbita alrededor de otro cuerpo celeste más grande, describiendo una órbita que se encuentra a una distancia mayor que la órbita de los satélites, pero menor que la órbita de los planetas.;Planeta, satelital, asteroide, cometa, cuerpo menor, cuerpo del sistema solar.;False
incrustar;Acción de introducir o insertar algo, como una piedra, un material o un objeto, en la superficie de otro, generalmente de manera permanente, para formar parte integral de él.;Incorporar, insertar, introducir, incrustar, incitar, incollar, incrustar, enfundar, encajar, enclavar.;True
intercadencia;Pauta o ritmo de alternancia entre diferentes elementos, como sonidos, sílabas o palabras, en una secuencia lingüística o musical, que se caracteriza por una sucesión regular de patrones de repetición y variación.;Ritmo, métrica, cadencia, acentuación, prosodia, pulso, compás.;False
jaín;Término que se refiere a una persona o cosa que pertenece o se relaciona con la religión jaina, una de las seis principales religiones del hinduismo, caracterizada por su énfasis en la no violencia y la búsqueda de la liberación del ciclo de la reencarnación.;Jainista, jainí, jainizado, jainófilo, jainológico, jainócrata.;False
lipotimia;Condición médica caracterizada por la disminución o pérdida repentina y transitoria de la función cardiovascular, asociada con una disminución del flujo sanguíneo cerebral y otros síntomas, como mareos, debilidad y sensación de desmayo.;Síncope, desmayo, colapso, desfallecimiento, pasmo, letargo.;False
magnolia;Especie de árbol ornamental perteneciente a la familia Magnoliaceae, caracterizado por sus flores grandes y fragantes, generalmente de color blanco o crema, y hojas persistentes y lanceoladas.;Magnolia, magnólica, magnoliana, liriodendro, tulipán, camélia.;True
manes;Grupos de cabello que crecen en la parte posterior y lateral de la cabeza, especialmente en hombres, y que pueden ser cortos o largos, peinados o sin peinar, y que pueden ser considerados un aspecto característico de la apariencia física de una persona.;Pelo, cabello, mechones, rizos, greñas, barbas, bigotes, patillas, mostachos.;False
meano;Técnico o relacionado con la minería, especialmente en referencia a la extracción de minerales o metales valiosos.;Minero, metallífero, aurífero, argentífero, carbónífero, petrolífero, geológico, extractivo.;False
mediar;Acción de intervenir o interponerse entre dos o más partes en conflicto o disputa, con el fin de encontrar un acuerdo o solución pacífica, o de actuar como inter<WORD>io o árbitro en un proceso de resolución de conflictos.;Meditiar, arbitrar, conciliar, intervenir, interponerse, moderar, negociar, pacificar, conciliar, arbitrar.;False
mensualizar;Procedimiento de distribución o pago de una cantidad fija de dinero o bienes en intervalos periódicos, generalmente coincidentes con el ciclo lunar o el calendario, con el fin de regular o planificar la asignación de recursos o la gestión de gastos.;Rendimiento, pensionado, pensión, asignación, asignación, remuneración, estipendio, subsidio, subsidio, asignación.;False
mesmerización;Efecto producido por la contemplación prolongada de algo, especialmente una persona, que induce una sensación de fascinación, hipnosis o estupor, caracterizado por una atención intensa y una capacidad reducida para pensar o actuar de manera crítica.;Hipnosis, fascinación, hechizo, encantamiento, embrujo, hipnotismo, fascinación, trance, éxtasis.;False
mestizo;Término que se refiere a una persona o cosa que resulta de la mezcla o unión de dos o más elementos, culturas o razas diferentes, en particular, en el contexto de la América colonial, se aplica a los descendientes de españoles y nativos americanos o africanos.;Mestizo, mulato, zambujo, cholo, criollo, indio, ladino, mulato, pardo, salta atrás, salta braga, salta garrocha, salta moro, salta negro, salta pardo, salta prieto, salta trigueño, trigueño.;True
minuto;Unidad de tiempo que se utiliza para medir la duración de un período, equivalente a la 60ª parte de una hora, y que se divide a su vez en 60 segundos.;Minuto, minuto natural, minuto astronómico.;True
mochalero;Técnico o habilidoso en la preparación y servicio de bebidas calientes, especialmente café, en un establecimiento especializado.;Barista, cafetero, barman, camarero, conserje, mozo.;False
modisto;Profesional encargado de diseñar, crear y vender prendas de vestir, especialmente en el ámbito de la alta costura y la moda, que se caracteriza por su creatividad y habilidad para combinar colores, texturas y estilos para crear piezas de ropa que reflejan la tendencia y el gusto de la época.;Modisto, diseñador de moda, estilista, costurero, sastre, couturier, modélico.;True
monásticamente;De manera que se ajusta a las reglas y costumbres de una orden religiosa, caracterizadas por la renuncia a los bienes materiales y la dedicación a la oración, el trabajo y la contemplación.;Monásticamente, religiosamente, conventualmente, ascéticamente, eremíticamente, cenobíticamente.;True
morra;En la cultura popular, representación gráfica o figurativa de una mano con los dedos extendidos, utilizada para adivinar o jugar, en la que se establece un código secreto para indicar opciones o predicciones.;Mano, sortija, sortilegio, adivinanza, predicción, augurio, tarot, cartomancia.;False
nefólogo;Especialista en el estudio de la niebla y la bruma, considerando factores como la meteorología, la geografía y la biología, con el fin de comprender y describir las condiciones atmosféricas y los efectos que estas tienen en el medio ambiente y la vida en general.;Neblólogo, meteorólogo, climatólogo, hidrólogo, ecólogo, aerólogo.;False
novatada;Ritual o ceremonia de bienvenida y acogida, especialmente en entornos laborales o académicos, en la que se impone una serie de pruebas y desafíos a un nuevo miembro o estudiante, con el fin de integrarlo en el grupo y establecer una relación de camaradería y respeto.;Iniciación, acogida, bienvenida, presentación, integración, iniciación, prueba, examen, desafío, recibimiento.;False
ovni;Designación popular para describir objetos aéreos no identificados, que no pueden ser clasificados como aviones, globos, meteoros ni otros fenómenos naturales, y que suelen ser objeto de especulación y debate sobre su origen y naturaleza.;OVNI, disco volante, platillo volante, aeronave desconocida, objeto volador no identificado, fenómeno aéreo inexplicable.;True
pagar;Acción de satisfacer una deuda o obligación mediante la entrega de una cantidad de dinero o bienes, a cambio de un servicio, producto o derecho prestado, o para cumplir con una responsabilidad contractual o moral.;Pagar, indemnizar, compensar, reembolsar, remunerar, satisfacer, liquidar, cancelar, desembolsar.;True
paleteo;Técnica de excavación arqueológica que implica la recolección y análisis de restos de alimentos y otros materiales orgánicos, como huesos, semillas y residuos, para obtener información sobre la dieta, la economía y la cultura de las sociedades antiguas.;Arqueozoología, paleotecnología, paleoecología, paleoetnobotánica, paleoantropología, paleoarqueología.;False
palmítico;Caracterizado por la presencia de palmito, un tipo de ácido graso saturado común en las moléculas de los lípidos, especialmente en los triglicéridos y fosfolípidos, que se encuentran en las membranas celulares y en los lípidos de los tejidos animales y vegetales.;Saturado, hidrosoluble, lipídico, lipídico, palmitílico, esfingolípido, fosfolípido.;False
paralogismo;Técnica retórica que consiste en presentar dos argumentos que, aunque aparentemente opuestos, en realidad no lo son, con el fin de confundir o desorientar al oyente o lector, y así influir en su opinión o decisión.;Paradoxismo, paralogismo, sofisma, apofegma, antítesis, dialéctica.;True
pasarratos;Colección de objetos o instrumentos musicales, especialmente de viento, que se utilizan en una orquesta o banda, y que se caracterizan por su variedad y rango tonal.;Conjunto, orquesta, banda, sección, instrumentario, conjunto instrumental.;False
perrillo;Animal doméstico de la familia Canidae, conocido por su pequeño tamaño, pelaje suave y ojos expresivos, que se caracteriza por su docilidad y capacidad para adaptarse a diferentes entornos.;Chihuahua, caniche, fox terrier, papagalo, foxi, foxita, terrier, canario.;False
pezuña;Parte exterior y dura de la pata de un animal, especialmente de un equino, caracterizada por su forma curva y su función de protección y apoyo.;Carrera, corvejón, corveja, corveja, casco, casquillo.;False
pinabete;Árbol pequeño y ornamental, perteneciente a la familia de las Cupresáceas, cuyas hojas son persistentes y tienen un aroma agradable, y que se utiliza en la decoración y en la ornamentación de espacios interiores y exteriores.;Ciprés, cedro, arce, abeto, cedrillo, cipresillo.;False
pitahaya;Fruto de una planta trepadora originaria de América Central y del Sur, caracterizado por su piel espinosa y su pulpa jugosa y comestible, que se utiliza en la elaboración de jugos, smoothies y postres.;Guayaba, guanábana, pitahaya, maracuyá, zapote, pasión.;True
postrar;Acción de colocar o tender algo o alguien en posición de sumisión, humildad o respeto, generalmente en señal de obediencia, admiración o rendimiento de homenaje.;Postrar, inclinar, arrodillar, agachar, inclinarse, doblar, rendir, hacer reverencia, hacer homenaje, besar la mano.;True
prédica;Discurso o sermón pronunciado por un religioso o un líder espiritual, generalmente con el fin de transmitir enseñanzas, moralizar o inspirar a los oyentes, y que puede ser oral o escrita.;Homilía, sermón, discurso, arenga, exhortación, alocución, oración, panegírico.;False
prolongador;Característica que se refiere a algo que tiene la capacidad de extender o aumentar en duración, intensidad o extensión, lo que permite una mayor permanencia o efectividad en un proceso o actividad.;Permanente, prolongado, prolongador, extensivo, intensivo, duradero, sostenido, continuo, prolongable, indefinido.;True
provinciano;Término que se refiere a alguien o algo que se relaciona con una provincia, es decir, una división administrativa de un país, generalmente con un carácter geográfico y cultural definido.;provincial, regional, local, territorial, autonomista, patriota.;False
puzzle;Juego de piezas que, al ser ensambladas correctamente, forman una imagen o figura completa, requiriendo habilidad y atención para resolverlo.;Rompecabezas, puzzle, enigma, acertijo, ajedrez, reloj de arena.;True
quepis;Pequeño sombrero de forma cónica, generalmente de paja o fieltro, con una visera que se puede levantar o bajar, utilizado como parte del uniforme de ciertos cuerpos militares y de la policía en el pasado.;Sombrero, gorro, kepi, shako, bicorne, fez.;False
raor;Instrumento musical de percusión, caracterizado por su forma cilíndrica y su capacidad para producir sonidos rítmicos y armónicos, generalmente utilizado en conjuntos musicales y en rituales religiosos.;Timbal, tambor, bombo, conga, djembe, tamboril.;False
reciclado;Proceso de transformación de materiales o residuos, ya sean orgánicos o inorgánicos, en nuevos productos o materiales, mediante técnicas y procesos que minimizan la generación de residuos y reducen la necesidad de recursos naturales.;Reciclado, reutilización, reconvertido, transformación, conversión, reindustrialización, ecotecnología, biotecnología, tecnología de residuos, tratamiento de residuos.;True
rememorar;Acción de revivir en la memoria una experiencia, un suceso o un conocimiento, a menudo con el fin de analizarlo, reflexionar sobre él o compartirlo con otros.;Recuerdo, recordar, evocar, revivir, rememorar, relatar, narrar, reiterar.;True
ridiculización;Acción o efecto de tratar de hacer que algo o alguien sea objeto de burla, escarnio o desprecio, a través de palabras, actos o gestos, con el fin de ridiculizar o desacreditar.;Burla, escarnio, calumnia, difamación, injuria, mofa, desprecio, deshonra, vituperio, injuriosa.;False
sagum;Pequeño manto o capa utilizada por los soldados antiguos, especialmente en el ejército romano, como parte de su equipo de combate y uniforme.;Coturno, paludamento, sagum, paenula, pectorale.;True
salbanda;Pieza de tela o material que se coloca en la parte superior de una falda o vestido para darle forma y ornamento, generalmente hecha de encaje, gasa o otro material ligero y delicado.;Rueda, encaje, gasa, guarnición, volante, apuntado.;False
socialmente;De manera relacionada con la interacción y el comportamiento entre los miembros de una sociedad, considerando las normas, costumbres y expectativas que rigen la convivencia humana.;Socialmente, comunitariamente, societalmente, convencionalmente, culturalmente, éticamente, moralmente, convivialmente.;True
speed;Medida de la rapidez o velocidad con la que se produce un movimiento, proceso o cambio, generalmente expresada en unidades como kilómetros por hora, millas por hora, etc.;Velocidad, rapidez, celeridad, velocidad media, velocidad instantánea, ritmo.;False
standarizar;Procedimiento de establecer y hacer común una norma, regla o método, a fin de garantizar la uniformidad y coherencia en la aplicación o utilización de algo, como un lenguaje, un sistema de medida, un procedimiento o un producto.;Estandarizar, normalizar, reglamentar, codificar, uniformizar, homogeneizar, establecer, regularizar, institucionalizar.;True
sublimado;Caracterizado por la transición directa de un estado a otro, sin pasar por un estado intermedio, como la transformación de un sólido en vapor sin pasar por el estado líquido.;Instantáneo, brusco, repentino, abrupto, directo, subito.;False
superbomba;Arma de destrucción masiva de gran potencia explosiva, diseñada para causar daños extensos y devastadores en una zona amplia, generalmente utilizada en contextos bélicos o militares.;Bombarda, bomba, cohete, misil, artillería, explosiva.;False
talgo;Sistema de vagones de ferrocarril que se unen y se separan mediante un sistema de acoplamiento y desacoplamiento, permitiendo la formación de convoyes de diferentes longitudes y composiciones, diseñado para mejorar la eficiencia y la capacidad de transporte en las líneas férreas.;Tren, convoy, composición, remolque, vagón, locomotora, tracción, acoplamiento.;False
tornajo;Instrumento de madera o metal, generalmente cilíndrico o con forma de hélice, utilizado para dar vueltas y torcer hilos, cordones o fibras textiles, especialmente para crear nudos o hacer trabajos de encaje y otros ornamentos.;Torno, huso, bobina, hélice, cardador, enrollador.;False
treinta;Número cardinal que indica la cantidad de unidades que se obtienen al sumar veintinueve unidades a una.;Trigésimo.;False
tundidor;Caracterizado por la acción de desgastar o erosionar mediante el uso repetido de un objeto o instrumento, especialmente en relación con la superficie dura o resistente.;Desgastado, deslucido, desportillado, desafilado, desmejorado, deslustrado.;False
vega;En astronomía, región del cielo que se extiende desde el ecuador celeste hasta el polo celeste, y que se caracteriza por ser visible desde la Tierra en el hemisferio celeste opuesto al polo norte. En botánica, término utilizado para designar una variedad de plantas que crecen en terrenos húmedos y arenosos.;Estrella, constelación, eclíptica, hemisferio, estepa, estuario.;False
verraquear;Acción de emitir un sonido agudo y penetrante, generalmente producido por la vibración de una cuerda o una membrana, y que puede ser utilizado para comunicarse, expresar emociones o llamar la atención.;Silbar, pitar, tocar, sonar, chillar, chillar, aullar, gritar, chillido, silbido, pitido.;False
