word;pred_definition;pred_words;known
dactiloscopia;Técnica utilizada para analizar y comparar las características únicas de las huellas dactilares, con el fin de identificar y verificar la identidad de una persona.;Dactiloscopia, identificación dactilar, análisis de huellas, comparación de huellas, reconocimiento de huellas, verificación de identidad.;True
deformabilidad;Característica que se refiere a la capacidad de un material o estructura para cambiar de forma o deformarse bajo la acción de fuerzas o tensiones, sin que esto implique una ruptura o pérdida de su integridad.;Elasticidad, flexibilidad, ductilidad, plasticidad, maleabilidad, compresibilidad.;False
desinfección;Proceso de eliminación o reducción de microorganismos, como bacterias, virus y hongos, en superficies, objetos o áreas, con el fin de prevenir la propagación de enfermedades y mantener la higiene.;Desinfección, esterilización, antisepsia, desinsectación, desparasitación, desinoculación, desinfectamiento.;True
desinsectación;Procedimiento o técnica utilizada para eliminar o reducir la presencia de insectos, especialmente en espacios cerrados o áreas específicas, con el fin de mantener la higiene y la salud.;Desinfección, desinsectación, esterilización, fumigación, plaguicida, exterminación, control de plagas, tratamiento de insectos, eliminación de insectos.;True
desmitificador;Persona o entidad que tiene el poder de revelar la verdad detrás de una creencia o idea que ha sido considerada sagrada o inviolable, y que puede llevar a la desilusión o la pérdida de fe en algo que se consideraba infalible.;Desmitificador, desenmascarador, desvelador, revelador, desacralizador, iconoclasta, desilusionador, descreedor.;True
diligentemente;Con un esfuerzo y una atención constantes, caracterizado por la perseverancia y la aplicación en el cumplimiento de una tarea o objetivo, sin descanso ni distracciones.;Incesante, perseverante, obstinado, tenaz, infatigable, incansable, laborioso, aplicado, constante, continuo, sin tregua, sin pausa.;False
emparejador;Instrumento o herramienta utilizada para unir o combinar dos o más elementos, generalmente de manera simétrica y equilibrada, con el fin de crear una unión fuerte y duradera.;Unión, junta, soldadura, enlace, cierre, empalme, grapado, pegamento, adhesivo, tornillo, clavo, grapadora, cinta adhesiva, pegajoso, encaje, enganche.;False
empurpurado;Técnica de ornamentación que consiste en aplicar un color o un material brillante y llamativo a una superficie, generalmente para realzar su apariencia o para darle un toque de elegancia y sofisticación.;Brocado, estofado, dorado, plateado, encaje, guarnición, ornamentación, estucado, relieves.;False
epifito;Planta que crece sobre otra, utilizando su estructura para apoyarse y recibir la luz y los nutrientes necesarios, sin ser parásita y sin dañar a la planta que soporta.;Epífito, epífita, parasita no, hemiepífita, epífito no parásito, epífito no dañino.;False
escorar;Acción de hacer que algo se incline o se desvíe de su posición original, a menudo de manera intencionada o deliberada, con el fin de lograr un objetivo o alcanzar un resultado determinado.;Desviación, inclinación, torcimiento, curvatura, flexión, dobladillo, inclinar, torcer, curvar, flexionar, doblar.;False
estadista;Persona que se destaca por su sabiduría, experiencia y habilidades en el ámbito político o gubernamental, y que suele ser reconocida por su capacidad para tomar decisiones informadas y liderar a otros en la resolución de problemas complejos.;Estadista, político, estadero, líder, gobernante, estadista, sabio, visionario, estratega, diplomático.;True
esteatosis;Condición patológica caracterizada por la acumulación de grasas en las células del hígado, lo que puede ser causado por una variedad de factores, incluyendo la ingesta excesiva de grasas, la obesidad y la diabetes, y puede ser asintomática o provocar síntomas como dolor abdominal, fatiga y hinchazón.;Hepatosis, hígado graso, steatosis, lipodistrofia, adiposis, cirrosis hepática, enfermedad hepática no alcohólica, enfermedad del hígado graso no alcohólica.;False
estuco;Material de construcción compuesto por una mezcla de cemento, arena y agua, utilizado para revestir paredes y techos, y que se caracteriza por ser ligero, resistente y fácil de aplicar.;Hormigón, yeso, estuco, albañal, mortero, argamasa, mezcla, betún.;True
exequias;Ritual o ceremonia religiosa o secular que se celebra en memoria de una persona fallecida, generalmente con la finalidad de honrar su memoria y expresar el dolor y la tristeza de los seres queridos que la han perdido.;Sepultura, funeral, entierro, velorio, misa de réquiem, homenaje, conmemoración, memorial, exequias.;True
faisánido;Familia de aves galliformes que incluye especies como el faisán, el pavo y el perdiz, caracterizadas por sus plumas iridiscentes y su comportamiento de caza en manada.;Faisán, pavo, perdiz, codorniz, paón, galliforme, tetraonidae.;False
fétido;Olor desagradable y repugnante que se produce cuando se descomponen sustancias orgánicas, como residuos biológicos, en un entorno sin oxígeno o con condiciones de humedad y temperatura favorables al desarrollo de bacterias y hongos.;Peste, putrefacción, descomposición, hedor, miasma, olor fétido, olor a carroña, olor a cadáver, olor a basura, olor a estiércol.;True
floración;Proceso natural por el cual las plantas producen y exhiben sus flores, que es un estadio importante en su ciclo de vida y que puede ser influenciado por factores como la luz, el clima y la temperatura.;Floración, florecimiento, estación de flores, florido, primavera, verano, crecimiento vegetal, desarrollo floral, fenología.;True
fotogamétrico;Técnica o método que combina la fotografía y la medición de la luz para determinar la cantidad de iluminación necesaria en un espacio o escenario, con el fin de lograr un efecto visual determinado.;Iluminación, lighting, iluminotécnica, fotometria, medición de la luz, iluminación artificial, iluminación escénica, iluminación cinematográfica, iluminación de interiores, iluminación de exteriores.;False
funcionario;Persona que ocupa un cargo o empleo en una organización, institución o gobierno, generalmente con responsabilidades y obligaciones específicas, y que se caracteriza por su dedicación y compromiso con el desempeño de sus funciones.;Funcionario, empleado, trabajador, servidor público, oficial, cargo, titular, gestor, administrador, ejecutivo.;True
gabato;Pequeño barco o embarcación ligera, generalmente de madera, utilizada para pescar o transportar personas en aguas tranquilas, como ríos o costas.;Barca, bote, lancha, falúa, piragua, canoa, chalupa, yola, cayú.;False
garcilla;Aves de plumaje oscuro y patas largas, que se alimentan de insectos y pequeños vertebrados, y que suelen anidar en zonas húmedas y boscosas.;Ranas, gallinazas, garzas, aves de rapiña, aves acuáticas, aves boscosas, aves insectívoras, aves carnívoras.;False
giroscopio;Instrumento que mide la orientación y el movimiento de un objeto en el espacio, utilizando la rotación de un eje para indicar la dirección y la velocidad de su movimiento.;Compasso, brújula, giroscopio, indicador de velocidad, velocímetro, girocompás.;True
helenizante;Tendencia o influencia cultural, artística o intelectual que se origina en la ciudad de Grecia, especialmente en la época clásica, y se caracteriza por la adopción de elementos y estilos griegos en otros campos, como la arquitectura, la literatura, la filosofía o la arte.;Helenismo, neoclasicismo, helenofilia, grecismo, classicismo, hellenización.;False
hipogino;Térmico que se refiere a un proceso o fenómeno que ocurre a una temperatura inferior a la normal o esperada, caracterizado por una disminución en la intensidad o frecuencia de ciertos eventos o procesos.;Hipotermia, hipoclimatismo, hipometeo, hipofenómeno, hipodinamismo, hipodosis.;False
incrustar;Acción de introducir o insertar algo, como un objeto o una parte, en una superficie o en un conjunto, de manera que quede anclado o fijo en ella, sin quitarle su forma original.;Incorporar, insertar, introducir, incrustar, incollar, engastar, encajar, anclar, fijar, asentar.;True
intercadencia;La práctica de insertar algo entre dos elementos o intervalos, con el fin de crear un ritmo o un patrón más atractivo o interesante.;Intercalación, alternancia, contraste, variación, ornamentación, interpolación, relleno, espaciado.;False
jaín;Persona que profesa una religión oriental que se basa en la devoción a una deidad, y que se caracteriza por la práctica de la meditación, la oración y la observancia de una serie de normas y preceptos morales.;Budista, hindú, taoísta, sintoísta, jainista, bhakta, yogui, monje, monja, bhikkhu, bhikkhuni.;False
lipotimia;Condición caracterizada por la disminución brusca y transitoria de la frecuencia cardíaca, que puede ser causada por una variedad de factores, como la fatiga, el estrés, la ansiedad o la privación de oxígeno, y que puede ser acompañada de síntomas como palpitaciones, mareos o sensación de debilidad.;Bradicardia, taquicardia, arritmia, palpitación, desmayo, síncope, hipotensión, shock, anoxia, estrés, ansiedad, fatiga, hipoxia.;False
magnolia;Arbusto o árbol ornamental de flores grandes y fragantes, con hojas lanceoladas y tronco recto, originario de Asia y América del Norte, y muy apreciado por su belleza y aroma.;Azalea, lilas, magnolio, syringa, lilac, acacia.;False
manes;Es el período de tiempo que transcurre entre la muerte de una persona y su entierro o inhumación, considerado como un momento de duelo y reflexión para los seres vivos que la han conocido.;Luto, duelo, pésame, lamenación, velatorio, sepelio, funeral, entierro, inhumación, lamentación.;False
meano;Término despectivo utilizado para describir a alguien que es cruel, desagradable o despiadado en sus palabras o acciones, demostrando una falta de empatía o compasión hacia los demás.;Bárbaro, bruto, cruel, desalmado, despiadado, inhumano, malvado, sádico, sin piedad, sin corazón.;False
mediar;Acción de intervenir o interponerse entre dos o más partes en conflicto o disputa, con el fin de encontrar un acuerdo o solución pacífica, y también acción de presentar o expresar una opinión o idea que concilia o equilibra dos extremos o puntos de vista.;Mediación, arbitraje, conciliación, negociación, reconciliación, moderación, equilibrismo, mediación, arbitrio, conciliador.;False
mensualizar;Proceso de dividir o distribuir una cantidad o un pago en partes iguales y periódicas, generalmente con una frecuencia que coincide con el ciclo de un período de tiempo determinado, como un mes.;Rendimiento, pensionado, pensionamiento, mensualidad, cuotas, amortización, abono.;False
mesmerización;Efecto que se produce cuando una persona o cosa captura la atención de otra de manera intensa y prolongada, a menudo debido a su belleza, interés o novedad, impidiendo que la persona que la observa se distraiga o desvíe su atención hacia otra cosa.;Atractivo, fascinación, encanto, embelesamiento, hipnosis, hechizo, magnetismo, fascinación, atracción, obsesión.;False
mestizo;Término que se refiere a la descendencia de dos personas de diferentes razas o etnias, que se han mezclado y han producido una nueva identidad cultural y genética.;Mestizaje, hibridismo, fusión, cruzamiento, mezcla, amalgama, creolización, mulato, zambra, metisaje.;False
minuto;Unidad de tiempo breve, equivalente a la 60ª parte de una hora, utilizada para medir el tiempo transcurrido entre dos instantes sucesivos.;Minuto, minuto, minuto, minuto, minuto, minuto, minuto, minuto, minuto, minuto, minuto, minuto, minuto, minuto, minuto, minuto, minuto, minuto, minuto, minuto, minuto, minuto, minuto, minuto, minuto, minuto, minuto, minuto, minuto, minuto, minuto, minuto, minuto, minuto, minuto, minuto, minuto, minuto, minuto, minuto, minuto, minuto, minuto;True
mochalero;Persona que se dedica a la venta o distribución de un tipo de bebida caliente y aromática, típicamente servida en un recipiente pequeño y con una crema espesa en la parte superior.;Cafetero, barista, tetero, chocolatero, caféero, mochilero.;False
modisto;Profesional que se encarga de diseñar, crear y vender prendas de vestir, especialmente en un establecimiento comercial dedicado a la venta de ropa y accesorios.;Modista, sastre, costurera, diseñador de moda, estilista, vendedor de moda, comerciante de ropa, dueño de tienda de ropa.;False
monásticamente;Modo de vida o estilo de conducta que se caracteriza por la renuncia a los placeres y comodidades mundanas, la dedicación a la oración y el trabajo espiritual, y la observancia de una regla o código de conducta estricto, generalmente en un entorno religioso o institucionalizado.;Ascetismo, eremitismo, cenobitismo, monacato, misticismo, austeridad, mortificación, disciplina, rigorismo, rigor, austeridad, vida contemplativa, vida religiosa, vida monástica.;False
morra;Juego de dedos en el que dos personas se enfrentan, cada una intentando adivinar el dedo que la otra ha elegido, mediante una serie de gestos y señales, con el fin de ganar o perder.;Piedra, papel, tijera, gato, dedo, morra, chinchín, dedazo.;True
nefólogo;Persona que se dedica al estudio y análisis de la niebla y sus características, como su formación, distribución y efectos en el medio ambiente y la salud humana.;Neófito, meteorólogo, climatólogo, epidemiólogo, ecólogo, hidrólogo, aerólogo.;False
novatada;Ritual de iniciación o acogida, generalmente de carácter humorístico y juguetón, que se realiza en ciertos contextos sociales o laborales, como una forma de integración y aceptación de un nuevo miembro o individuo.;Bautismo, iniciación, acogida, bienvenida, presentación, recepción, bienvenida, hazing, rituales de integración, iniciación de miembros.;False
ovni;Designación utilizada para describir objetos que se mueven en el cielo y no pueden ser identificados como naturales o artificiales, y que suelen generar interés y especulación en la opinión pública.;OVNI, UFO, platillo volador, nave espacial, objeto volador no identificado, fenómeno aéreo inexplicable.;True
pagar;Acción de proporcionar una contraprestación o compensación, generalmente en forma de dinero, a cambio de un servicio, un producto o una obligación, con el fin de satisfacer una deuda o cumplir con una responsabilidad.;Indemnizar, compensar, recompensar, pagar, remunerar, indemnizar, satisfacer, abonar, retribuir, compensar.;True
paleteo;Práctica de comer alimentos crudos, especialmente frutas y verduras, sin cocinarlos previamente.;Crudeza, crudismo, raw food, veganismo, vegetarianismo, frugivorismo, naturismo, saludismo.;False
palmítico;Sustancia grasa que se encuentra en la leche de los mamíferos y en algunos alimentos, y que es rica en ácidos grasos saturados y en particular en ácido <WORD>, que es un componente importante de la composición química de la grasa corporal.;colesterol.;False
paralogismo;Técnica retórica que consiste en utilizar un argumento o razonamiento que, aunque aparentemente lógico, no lo es en realidad, con el fin de influir en la opinión o persuadir a alguien.;Eufemismo, sofisma, paralogismo, falacia, apofegma, retórica, disimulo, engaño, trampa lógica, artificio retórico.;True
pasarratos;Estructuras que se utilizan para guiar o dirigir el flujo de fluidos, como agua o aire, a través de un sistema de tuberías o canales, y que pueden ser rectas o curvas, simples o complejas, y que se encuentran comúnmente en edificios, instalaciones industriales o urbanas.;Tuberías, conductos, canales, ductos, tuberías de distribución, tuberías de servicio, tuberías de evacuación, tuberías de suministro, tuberías de retorno, tuberías de refrigeración, tuberías de calefacción, tuberías de aire acondicionado, tuberías de gas, tuberías de agua, tuberías de desagüe.;False
perrillo;Se refiere a un término afectuoso y coloquial utilizado para describir a un perro pequeño o de raza, con connotaciones de cariño y ternura.;Perrito, cachorro, pichón, perritocho, perritoquita, perritozuelo, perrito pequeño, perrito bonito.;False
pezuña;Parte del pie de algunos animales, como caballos, asnos y mulas, que está formada por una capa de piel y hueso y se utiliza para caminar y correr.;Hocico, casco, pezuña, corvejón, ungla, asta.;True
pinabete;Pequeño árbol o arbusto de hoja caduca, con ramas espinosas y flores pequeñas y aromáticas, que se cultiva por su madera y su fruto comestible.;Cedro, olivo, pino, rosal, acacia, almendro, naranjo, limonero, saúco, albaricoquero.;False
pitahaya;Fruto exótico y jugoso, originario de América Central y del Sur, con una piel roja o verde y una pulpa blanca o roja, que se consume fresco o se utiliza en postres y bebidas.;Guayaba, guanábana, pitahaya, maracuyá, lucuma, zapote, guanabano.;True
postrar;Acción de colocar o tender algo o alguien en una posición de sumisión, humildad o respeto, generalmente con el fin de demostrar obediencia, gratitud o admiración.;Postrarse, inclinarse, arrodillarse, prosternarse, agacharse, inclinar la cabeza, doblar la rodilla, hacer reverencia, rendir homenaje, mostrar deferencia.;True
prédica;Discurso o sermón que se pronuncia en un lugar de culto o en un espacio público, con el fin de transmitir una idea, un mensaje o una enseñanza, generalmente con un tono persuasivo o inspirador.;Homilía, discurso, sermón, arenga, alocución, oración, areo, panegírico, exhortación.;False
prolongador;Dispositivo o elemento que tiene como función aumentar o extender la duración o el alcance de algo, como la vida útil de un objeto, la potencia de un dispositivo o la eficacia de un proceso.;Amplificador, extensor, prolongador, prolongación, prolongamiento, intensificador, potenciador, reforzador, prolonguente, extensión.;True
provinciano;Persona que se identifica con la cultura y la tradición de una región o región geográfica específica, que puede ser rural o semi-rural, y que a menudo se caracteriza por una forma de vida más sencilla y tradicional.;Campesino, ruralista, paysan, campesina, montañés, serrano, andino, gaucho, pastoril, rurero.;False
puzzle;Enigma o rompecabezas que requiere la resolución de un problema o la colocación de piezas en su lugar correcto para revelar una imagen, un mensaje o una solución, generalmente mediante la manipulación de piezas móviles o la búsqueda de patrones y relaciones entre ellas.;Jigsaw, puzzle, rompecabezas, enigma, crucigrama, acertijo, rebus, brain teaser, juego de mesa, puzzle 3D.;True
quepis;Pequeño sombrero de forma cónica, generalmente de paja o fieltro, que se lleva en la cabeza, especialmente en épocas pasadas, y que era característico de ciertos uniformes militares y de la policía.;Cascos, sombrerito, gorro, chapeau, fez, kepi, bicorne, shako.;False
raor;"No conozco la palabra ""<WORD>"". ¿Podrías proporcionarme más contexto o información sobre el significado que se le atribuye?";"Disculpa la confusión! La definición que me proporcionaste no parece ser una palabra específica, sino más bien una descripción de un concepto. En ese caso, no puedo proporcionarte una lista de palabras que sean el origen de la definición, ya que no se trata de una palabra concreta.

Sin embargo, si me proporcionas más contexto o información sobre el significado que se le atribuye a esa definición, puedo intentar ayudarte a encontrar la palabra que estás buscando.";False
reciclado;Proceso de transformar materiales o residuos que ya han sido utilizados o consumidos en algo nuevo, con el fin de reducir la cantidad de desechos y minimizar el impacto ambiental.;Reciclaje, reutilización, reconvertir, revalorizar, reindustrializar, recuperación, reingeniería, ecodiseño, reducir, reutilizar, reciclar.;False
rememorar;Acción de revivir en la memoria una experiencia, un suceso o un conocimiento, a menudo con la intención de analizarlo, reflexionar sobre él o compartirlo con otros.;Recuerdo, reminiscencia, evocación, recordación, reminiscencia, revivir, revivificar, relatar, narrar.;False
ridiculización;Acción de hacer que algo o alguien parezca absurdo, irrisorio o despreciable, a menudo con el fin de ridiculizar o desacreditar a alguien o algo.;Caricaturizar, ridiculizar, desacreditar, escarnecer, burlarse, ironizar, satirizar, desvirtuar, deshonrar, menoscabar.;False
sagum;Pequeño sombrero o gorro que se utiliza para proteger la cabeza de la intemperie o del sol, especialmente en entornos rurales o militares.;Sombrero, gorro, chapa, boina, paja, kepi.;False
salbanda;Ornamento que se coloca en la parte superior de una puerta, ventana o arco, generalmente compuesto por una serie de elementos arquitectónicos, como molduras, volutas o otros motivos decorativos.;Frontón, entablamento, cornisa, dintel, arquivolta, impostas, friso, tímpano, acroteria.;False
socialmente;Modo en que se comporta o se relaciona una persona o grupo de personas en función de las normas, costumbres y expectativas de la sociedad en la que viven, influenciando su comportamiento y actitudes en diferentes contextos y situaciones.;Etiqueta, protocolo, convención, norma, moral, código, ética, decoro, cortesía, moralidad.;False
speed;La capacidad de un objeto o ser vivo para moverse a través un espacio en un determinado lapso de tiempo, medida generalmente en unidades como kilómetros por hora o millas por hora.;Velocidad, rapidez, celeridad, velocidad de crucero, velocidad de punto, velocidad media, velocidad máxima, ritmo.;False
standarizar;Proceso de establecer y aplicar un conjunto de normas, reglas o procedimientos comunes y uniformes para la producción, presentación o uso de algo, con el fin de garantizar la coherencia, la uniformidad y la facilidad de comprensión o utilización.;Estándarización, normalización, codificación, reglamentación, formalización, uniformización, estandarización, normalización, tipificación.;False
sublimado;Proceso por el cual un sustancia se transforma directamente de un estado a otro, sin pasar por el estado intermedio, como por ejemplo, la transformación de un sólido en vapor sin pasar por el estado líquido.;Sublimación, fusión, condensación, evaporación, transición, metamorfosis.;False
superbomba;Arma de gran potencia y devastadora capacidad destructiva, diseñada para causar daños masivos y destruir objetivos importantes en un área amplia.;Bomba, misil, cohete, bomba atómica, bomba nuclear, bomba de hidrógeno, bomba de combustible líquido, bomba de combustible sólido, bomba de racimo, bomba de precisión.;False
talgo;Sistema de vagones de ferrocarril que se unen y se separan mediante un sistema de acoplamiento, permitiendo la formación de convoyes de diferentes longitudes y composiciones, y que se caracteriza por su velocidad y comodidad.;Tren, convoy, composición, vagón, locomotora, ferrocarril, alta velocidad, Pullman, expreso.;False
tornajo;Instrumento o herramienta utilizada para realizar un proceso de transformación o modificación en la superficie de un material, como la madera, el metal o el plástico, mediante la aplicación de presión y fuerza rotatoria.;Torno, fresadora, taladro, lijadora, cepillo, sierra, mecanizado, herramienta de corte, herramienta de precisión.;False
treinta;Número que se refiere a la cantidad de unidades que se obtienen al sumar <WORD> unidades individuales. Es un número cardinal que se utiliza para contar y medir la cantidad de elementos, y también puede ser utilizado para expresar una fracción o una proporción. En algunos contextos, puede ser utilizado como un término para describir una cantidad moderada o una cantidad que se considera como un umbral o un límite.;Unidad, conjunto, conjunto, cantidad, grupo, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto, conjunto;False
tundidor;Máquina que utiliza una acción de frotamiento o raspado para eliminar la nieve o el hielo de una superficie, como un camino o un techo.;Planiador, escarificador, raspador, deshielador, rastrillo, trilladora.;False
vega;Terreno llano y fértil, generalmente situado en una llanura o valle, que se caracteriza por su fertilidad y productividad, y es comúnmente utilizado para el cultivo de cereales, legumbres y otros productos agrícolas.;Vega, llanura, valle, llano, planicie, tierra de cultivo, campo, prado, huerto, jardín.;True
verraquear;Acción de examinar o inspeccionar con detenimiento y minuciosidad, a menudo con el fin de descubrir defectos o irregularidades.;Inspección, examen, revisión, inspeccionar, examinar, revisar, analizar, investigar, explorar, escudriñar.;False
